Vf,G2018
0.250,0.003650
0.255,0.005760
0.260,0.008742
0.265,0.012767
0.270,0.017963
0.275,0.024371
0.280,0.031925
0.285,0.040437
0.290,0.049603
0.295,0.059039
0.300,0.068325
0.305,0.077063
0.310,0.084929
0.315,0.091710
0.320,0.097317
0.325,0.101782
0.330,0.105234
0.335,0.107077
0.340,0.108156
0.345,0.109219
0.350,0.110296
0.355,0.111422
0.360,0.112633
0.365,0.113967
0.370,0.115464
0.375,0.117166
0.380,0.119116
0.385,0.121358
0.390,0.123937
0.395,0.126898
0.400,0.130289
0.405,0.134161
0.410,0.138567
0.415,0.143569
0.420,0.149234
0.425,0.155643
0.430,0.162888
0.435,0.171077
0.440,0.180334
0.445,0.190797
0.450,0.202622
0.455,0.215974
0.460,0.231024
0.465,0.247939
0.470,0.266877
0.475,0.287972
0.480,0.311322
0.485,0.336982
0.490,0.364948
0.495,0.395151
0.500,0.427448
0.505,0.461623
0.510,0.497384
0.515,0.534371
0.520,0.572167
0.525,0.610308
0.530,0.648306
0.535,0.685664
0.540,0.721897
0.545,0.756557
0.550,0.789245
0.555,0.819633
0.560,0.847471
0.565,0.872593
0.570,0.894923
0.575,0.914465
0.580,0.931303
0.585,0.945581
0.590,0.957494
0.595,0.967274
0.600,0.975171
0.605,0.981442
0.610,0.986338
0.615,0.990096
0.620,0.992932
0.625,0.995036
0.630,0.996569
0.635,0.997666
0.640,0.998439
0.645,0.998973
0.650,0.999335
0.655,0.999577
0.660,0.999735
0.665,0.999837
0.670,0.999902
0.675,0.999942
0.680,0.999966
0.685,0.999980
0.690,0.999989
0.695,0.999994
0.700,0.999997
0.705,0.999998
0.710,0.999999
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
