METRIC,S2018
Vf,0.625206
Sf,0.961219
EG,-0.210807
PR,-0.336013
GAMMA,-0.267115
BS_50,0.083941
BV_50,0.013849
BS_V,-0.021603
GS,0.020782
MM,0.024777
LO,0.000000
DECL,0.000000
R,3.683680
r,1.550279
Sb,0.961219
Ra,0.980609
Rb,0.480609
Va,0.500000
Vb,0.363853
L_Vf,0.605000
L_Sf,0.929738
U_Vf,0.650000
U_Sf,0.989196
