METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2018,METRIC,G2018,METRIC,AG2018
Vf,0.613854,Vf,0.671156,Vf,0.646524,Vf,0.666882,Vf,0.625206,Vf,0.332124,Vf,0.699581
Sf,0.960507,Sf,0.998462,Sf,0.987655,Sf,0.997862,Sf,0.961219,Sf,0.106439,Sf,0.999630
EG,-0.232799,EG,-0.156150,EG,-0.194607,EG,-0.164098,EG,-0.210807,EG,0.057809,EG,-0.100468
PR,-0.346653,PR,-0.327306,PR,-0.341131,PR,-0.330980,PR,-0.336013,PR,0.225685,PR,-0.300049
GAMMA,-0.277142,GAMMA,-0.479640,GAMMA,-0.392646,GAMMA,-0.473477,GAMMA,-0.267115,GAMMA,0.331655,GAMMA,-0.493819
BS_50,0.074764,BS_50,0.055810,BS_50,0.078266,BS_50,0.058780,BS_50,0.083941,BS_50,0.072552,BS_50,0.043893
BV_50,0.012172,BV_50,0.008891,BV_50,0.012965,BV_50,0.009254,BV_50,0.013849,BV_50,0.010354,BV_50,0.006716
BS_V,-0.023051,BS_V,-0.000974,BS_V,-0.011351,BS_V,-0.001734,BS_V,-0.021603,BS_V,-0.052946,BS_V,0.000090
GS,0.018638,GS,0.012773,GS,0.019003,GS,0.013757,GS,0.020782,GS,0.039298,GS,0.009453
MM,0.025416,MM,0.026153,MM,0.024786,MM,0.024386,MM,0.024777,MM,0.017763,MM,0.021056
LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000
R,4.044715,R,2.912325,R,3.328158,R,2.983320,R,3.683680,R,2.344358,R,2.503395
r,1.610529,r,0.109970,r,0.648420,r,0.146124,r,1.550279,r,0.368763,r,0.029116
Sb,0.960507,Sb,0.998462,Sb,0.987655,Sb,0.997862,Sb,0.961219,Sb,0.106439,Sb,0.999630
Ra,0.980253,Ra,0.999231,Ra,0.993828,Ra,0.998931,Ra,0.980609,Ra,0.553219,Ra,0.999815
Rb,0.480253,Rb,0.499231,Rb,0.493828,Rb,0.498931,Rb,0.480609,Rb,0.053219,Rb,0.499815
Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000,Va,0.688413,Va,0.500000
Vb,0.376902,Vb,0.322809,Vb,0.346430,Vb,0.326736,Vb,0.363853,Vb,0.434644,Vb,0.294869
L_Vf,0.590000,L_Vf,0.650000,L_Vf,0.625000,L_Vf,0.645000,L_Vf,0.605000,L_Vf,0.310000,L_Vf,0.675000
L_Sf,0.910863,L_Sf,0.994714,L_Sf,0.970454,L_Sf,0.992884,L_Sf,0.929738,L_Sf,0.084929,L_Sf,0.998301
U_Vf,0.635000,U_Vf,0.695000,U_Vf,0.670000,U_Vf,0.690000,U_Vf,0.650000,U_Vf,0.355000,U_Vf,0.720000
U_Sf,0.987371,U_Sf,0.999840,U_Sf,0.997612,U_Sf,0.999734,U_Sf,0.989196,U_Sf,0.111422,U_Sf,0.999960
