Vf,composite
0.250,0.000003
0.255,0.000005
0.260,0.000011
0.265,0.000021
0.270,0.000039
0.275,0.000071
0.280,0.000127
0.285,0.000219
0.290,0.000370
0.295,0.000608
0.300,0.000974
0.305,0.001519
0.310,0.002312
0.315,0.003431
0.320,0.004966
0.325,0.007014
0.330,0.009673
0.335,0.013031
0.340,0.017155
0.345,0.022086
0.350,0.027827
0.355,0.034341
0.360,0.041546
0.365,0.049329
0.370,0.057547
0.375,0.066051
0.380,0.074696
0.385,0.083362
0.390,0.091962
0.395,0.100457
0.400,0.108857
0.405,0.117215
0.410,0.125623
0.415,0.134203
0.420,0.143090
0.425,0.152429
0.430,0.162359
0.435,0.173016
0.440,0.184526
0.445,0.197006
0.450,0.210569
0.455,0.225322
0.460,0.241370
0.465,0.258816
0.470,0.277751
0.475,0.298257
0.480,0.320394
0.485,0.344191
0.490,0.369641
0.495,0.396690
0.500,0.425236
0.505,0.455122
0.510,0.486141
0.515,0.518041
0.520,0.550530
0.525,0.583290
0.530,0.615988
0.535,0.648290
0.540,0.679874
0.545,0.710440
0.550,0.739723
0.555,0.767500
0.560,0.793594
0.565,0.817877
0.570,0.840271
0.575,0.860740
0.580,0.879295
0.585,0.895978
0.590,0.910863
0.595,0.924047
0.600,0.935642
0.605,0.945771
0.610,0.954562
0.615,0.962615
0.620,0.970833
0.625,0.977583
0.630,0.983037
0.635,0.987371
0.640,0.990754
0.645,0.993347
0.650,0.995298
0.655,0.996737
0.660,0.997777
0.665,0.998515
0.670,0.999027
0.675,0.999375
0.680,0.999606
0.685,0.999757
0.690,0.999853
0.695,0.999913
0.700,0.999950
0.705,0.999971
0.710,0.999984
0.715,0.999991
0.720,0.999995
0.725,0.999998
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
