METRIC,P2020
Vf,0.671156
Sf,0.998462
EG,-0.156150
PR,-0.327306
GAMMA,-0.479640
BS_50,0.055810
BV_50,0.008891
BS_V,-0.000974
GS,0.012773
MM,0.026153
LO,0.000000
DECL,0.000000
R,2.912325
r,0.109970
Sb,0.998462
Ra,0.999231
Rb,0.499231
Va,0.500000
Vb,0.322809
L_Vf,0.650000
L_Sf,0.994714
U_Vf,0.695000
U_Sf,0.999840
