METRIC,G2018
Vf,0.332124
Sf,0.106439
EG,0.057809
PR,0.225685
GAMMA,0.331655
BS_50,0.072552
BV_50,0.010354
BS_V,-0.052946
GS,0.039298
MM,0.017763
LO,0.000000
DECL,0.000000
R,2.344358
r,0.368763
Sb,0.106439
Ra,0.553219
Rb,0.053219
Va,0.688413
Vb,0.434644
L_Vf,0.310000
L_Sf,0.084929
U_Vf,0.355000
U_Sf,0.111422
