CD,composite,P2020,P2016,S2020,S2018,G2018,AG2018
1,0.569114,0.610518,0.594696,0.611941,0.596719,0.314361,0.650939
2,0.598534,0.657572,0.629512,0.651059,0.613248,0.320840,0.679722
3,0.582816,0.639987,0.615723,0.642496,0.593294,0.285669,0.671692
4,0.588438,0.645003,0.621738,0.634753,0.600429,0.308173,0.678525
5,0.696714,0.759937,0.733398,0.754372,0.715393,0.400141,0.779151
6,0.572613,0.640508,0.598057,0.638387,0.573996,0.264772,0.672406
7,0.828544,0.867213,0.877526,0.868164,0.868717,0.566448,0.890671
8,0.614630,0.680336,0.647959,0.670611,0.605299,0.324481,0.713794
9,0.528639,0.592558,0.553325,0.586027,0.522529,0.262497,0.608961
