CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2016,CD,G2018,CD,AG2018
1,0.379865,1,0.390422,1,0.352514,1,0.400123,1,0.298777,1,0.459937,1,0.386075
2,0.270867,2,0.228126,2,0.239201,2,0.251997,2,0.253999,2,0.382264,2,0.312877
3,0.284485,3,0.281021,3,0.261269,3,0.293183,3,0.219171,3,0.382513,3,0.312555
4,0.343862,4,0.341630,4,0.312086,4,0.346299,4,0.264030,4,0.452119,4,0.374692
5,0.394804,5,0.405262,5,0.367430,5,0.412290,5,0.290656,5,0.498612,5,0.403622
