Vf,S2016
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000001
0.290,0.000001
0.295,0.000002
0.300,0.000003
0.305,0.000006
0.310,0.000010
0.315,0.000016
0.320,0.000027
0.325,0.000044
0.330,0.000070
0.335,0.000110
0.340,0.000171
0.345,0.000263
0.350,0.000399
0.355,0.000597
0.360,0.000882
0.365,0.001288
0.370,0.001858
0.375,0.002646
0.380,0.003722
0.385,0.005174
0.390,0.007106
0.395,0.009643
0.400,0.012935
0.405,0.017149
0.410,0.022476
0.415,0.029127
0.420,0.037325
0.425,0.047306
0.430,0.059308
0.435,0.073563
0.440,0.090287
0.445,0.109671
0.450,0.131868
0.455,0.156979
0.460,0.185050
0.465,0.216054
0.470,0.249890
0.475,0.286381
0.480,0.325265
0.485,0.366208
0.490,0.408805
0.495,0.452591
0.500,0.497059
0.505,0.541671
0.510,0.585880
0.515,0.629151
0.520,0.670975
0.525,0.710891
0.530,0.748498
0.535,0.783473
0.540,0.815572
0.545,0.844640
0.550,0.870609
0.555,0.893491
0.560,0.913373
0.565,0.930406
0.570,0.944789
0.575,0.956760
0.580,0.966578
0.585,0.974509
0.590,0.980822
0.595,0.985770
0.600,0.989589
0.605,0.992491
0.610,0.994662
0.615,0.996260
0.620,0.997419
0.625,0.998245
0.630,0.998825
0.635,0.999225
0.640,0.999496
0.645,0.999678
0.650,0.999797
0.655,0.999874
0.660,0.999923
0.665,0.999954
0.670,0.999973
0.675,0.999984
0.680,0.999991
0.685,0.999995
0.690,0.999997
0.695,0.999998
0.700,0.999999
0.705,1.000000
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
