CD,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
2,0.270867,0.228126,0.239201,0.251997,0.253999,0.382264,0.312877,0.278077,0.024036,0.086436,-0.007210,-0.025928,-0.299967
3,0.284485,0.281021,0.261269,0.293183,0.219171,0.382513,0.312555,0.291619,0.022349,0.076638,-0.007134,-0.024463,-0.319209
4,0.343862,0.341630,0.312086,0.346299,0.264030,0.452119,0.374692,0.348476,0.025779,0.073976,-0.004614,-0.013241,-0.178983
1,0.379865,0.390422,0.352514,0.400123,0.298777,0.459937,0.386075,0.381308,0.021820,0.057224,-0.001443,-0.003784,-0.066132
5,0.394804,0.405262,0.367430,0.412290,0.290656,0.498612,0.403622,0.396312,0.027599,0.069640,-0.001508,-0.003805,-0.054640
