Vf,G2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000001
0.285,0.000001
0.290,0.000002
0.295,0.000005
0.300,0.000008
0.305,0.000015
0.310,0.000027
0.315,0.000047
0.320,0.000080
0.325,0.000133
0.330,0.000218
0.335,0.000351
0.340,0.000555
0.345,0.000862
0.350,0.001315
0.355,0.001969
0.360,0.002899
0.365,0.004195
0.370,0.005966
0.375,0.008344
0.380,0.011478
0.385,0.015533
0.390,0.020689
0.395,0.027130
0.400,0.035038
0.405,0.044587
0.410,0.055926
0.415,0.069176
0.420,0.084420
0.425,0.101692
0.430,0.120975
0.435,0.142198
0.440,0.163459
0.445,0.184739
0.450,0.207470
0.455,0.231569
0.460,0.256931
0.465,0.283443
0.470,0.310981
0.475,0.339423
0.480,0.368649
0.485,0.398550
0.490,0.429027
0.495,0.459993
0.500,0.491368
0.505,0.523074
0.510,0.555024
0.515,0.587122
0.520,0.619242
0.525,0.651232
0.530,0.682906
0.535,0.714044
0.540,0.744400
0.545,0.773710
0.550,0.801703
0.555,0.828121
0.560,0.852731
0.565,0.875342
0.570,0.895814
0.575,0.914068
0.580,0.930088
0.585,0.943920
0.590,0.955664
0.595,0.965467
0.600,0.973509
0.605,0.979991
0.610,0.985124
0.615,0.989115
0.620,0.992164
0.625,0.994451
0.630,0.996136
0.635,0.997353
0.640,0.998218
0.645,0.998820
0.650,0.999232
0.655,0.999509
0.660,0.999691
0.665,0.999809
0.670,0.999884
0.675,0.999931
0.680,0.999960
0.685,0.999977
0.690,0.999987
0.695,0.999993
0.700,0.999996
0.705,0.999998
0.710,0.999999
0.715,0.999999
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
