METRIC,S2016
Vf,0.266240
Sf,0.000000
EG,0.032480
PR,0.266240
GAMMA,0.499998
BS_50,0.002941
BV_50,0.000330
BS_V,-0.000000
GS,0.000770
MM,0.002210
LO,0.000000
DECL,0.000000
R,2.138946
r,0.000010
Sb,0.000000
Ra,0.500000
Rb,0.000000
Va,0.734673
Vb,0.500000
L_Vf,0.250000
L_Sf,0.000000
U_Vf,0.290000
U_Sf,0.000001
