METRIC,AG2018
Vf,0.359668
Sf,0.002211
EG,0.217125
PR,0.357457
GAMMA,0.476863
BS_50,0.004763
BV_50,0.000622
BS_V,-0.000648
GS,0.001672
MM,-0.015024
LO,0.000000
DECL,0.000000
R,3.547222
r,0.149117
Sb,0.002211
Ra,0.501106
Rb,0.001106
Va,0.642124
Vb,0.500000
L_Vf,0.335000
L_Sf,0.000253
U_Vf,0.380000
U_Sf,0.007955
