METRIC,P2020
Vf,0.330600
Sf,0.002409
EG,0.158791
PR,0.328191
GAMMA,0.468133
BS_50,-0.014619
BV_50,-0.002743
BS_V,-0.001031
GS,-0.007724
MM,-0.011030
LO,0.000000
DECL,0.000000
R,2.937372
r,0.173897
Sb,0.002409
Ra,0.501205
Rb,0.001205
Va,0.670882
Vb,0.500000
L_Vf,0.310000
L_Sf,0.000352
U_Vf,0.355000
U_Sf,0.009752
