METRIC,composite
Vf,0.336263
Sf,0.001131
EG,0.171395
PR,0.335132
GAMMA,0.484102
BS_50,0.002041
BV_50,0.000306
BS_V,-0.000475
GS,0.003508
MM,-0.007599
LO,0.000000
DECL,0.000000
R,3.046772
r,0.090191
Sb,0.001131
Ra,0.500565
Rb,0.000565
Va,0.665287
Vb,0.500000
L_Vf,0.315000
L_Sf,0.000146
U_Vf,0.360000
U_Sf,0.005197
