Vf,composite
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000001
0.275,0.000001
0.280,0.000002
0.285,0.000004
0.290,0.000008
0.295,0.000015
0.300,0.000028
0.305,0.000049
0.310,0.000086
0.315,0.000146
0.320,0.000244
0.325,0.000399
0.330,0.000642
0.335,0.001011
0.340,0.001462
0.345,0.002042
0.350,0.002819
0.355,0.003849
0.360,0.005197
0.365,0.006939
0.370,0.009165
0.375,0.011975
0.380,0.015479
0.385,0.019797
0.390,0.025058
0.395,0.031390
0.400,0.038927
0.405,0.047793
0.410,0.058107
0.415,0.069972
0.420,0.083473
0.425,0.098669
0.430,0.115597
0.435,0.134262
0.440,0.154641
0.445,0.176680
0.450,0.200303
0.455,0.225410
0.460,0.251886
0.465,0.279603
0.470,0.308432
0.475,0.338244
0.480,0.368915
0.485,0.400330
0.490,0.432378
0.495,0.464956
0.500,0.497959
0.505,0.531273
0.510,0.564773
0.515,0.598311
0.520,0.631713
0.525,0.664775
0.530,0.697267
0.535,0.728937
0.540,0.759516
0.545,0.788735
0.550,0.816338
0.555,0.842093
0.560,0.865809
0.565,0.887344
0.570,0.906617
0.575,0.923605
0.580,0.938347
0.585,0.950937
0.590,0.961512
0.595,0.970249
0.600,0.977346
0.605,0.983011
0.610,0.987457
0.615,0.990884
0.620,0.993480
0.625,0.995412
0.630,0.996823
0.635,0.997837
0.640,0.998551
0.645,0.999046
0.650,0.999382
0.655,0.999607
0.660,0.999754
0.665,0.999849
0.670,0.999909
0.675,0.999946
0.680,0.999968
0.685,0.999982
0.690,0.999990
0.695,0.999994
0.700,0.999997
0.705,0.999998
0.710,0.999999
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
