Vf,P2020
0.250,0.000000
0.255,0.000000
0.260,0.000001
0.265,0.000001
0.270,0.000003
0.275,0.000006
0.280,0.000011
0.285,0.000021
0.290,0.000039
0.295,0.000069
0.300,0.000122
0.305,0.000209
0.310,0.000352
0.315,0.000581
0.320,0.000937
0.325,0.001480
0.330,0.002290
0.335,0.003159
0.340,0.004255
0.345,0.005669
0.350,0.007475
0.355,0.009752
0.360,0.012592
0.365,0.016092
0.370,0.020356
0.375,0.025492
0.380,0.031610
0.385,0.038816
0.390,0.047210
0.395,0.056883
0.400,0.067909
0.405,0.080345
0.410,0.094229
0.415,0.109571
0.420,0.126360
0.425,0.144555
0.430,0.164093
0.435,0.184886
0.440,0.206828
0.445,0.229797
0.450,0.253658
0.455,0.278272
0.460,0.303503
0.465,0.329215
0.470,0.355289
0.475,0.381615
0.480,0.408107
0.485,0.434693
0.490,0.461325
0.495,0.487972
0.500,0.514619
0.505,0.541261
0.510,0.567898
0.515,0.594530
0.520,0.621146
0.525,0.647719
0.530,0.674201
0.535,0.700515
0.540,0.726555
0.545,0.752185
0.550,0.777240
0.555,0.801537
0.560,0.824878
0.565,0.847064
0.570,0.867906
0.575,0.887237
0.580,0.904922
0.585,0.920867
0.590,0.935025
0.595,0.947398
0.600,0.958033
0.605,0.967019
0.610,0.974481
0.615,0.980567
0.620,0.985441
0.625,0.989273
0.630,0.992229
0.635,0.994467
0.640,0.996129
0.645,0.997340
0.650,0.998204
0.655,0.998810
0.660,0.999225
0.665,0.999505
0.670,0.999690
0.675,0.999809
0.680,0.999885
0.685,0.999932
0.690,0.999960
0.695,0.999977
0.700,0.999987
0.705,0.999993
0.710,0.999996
0.715,0.999998
0.720,0.999999
0.725,0.999999
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
