Vf,composite,Vf,P2020,Vf,P2016,Vf,S2020,Vf,S2016,Vf,G2018,Vf,AG2018
0.250,0.000000,0.250,0.000000,0.250,0.000000,0.250,0.000000,0.250,0.000000,0.250,0.000000,0.250,0.000000
0.255,0.000000,0.255,0.000000,0.255,0.000000,0.255,0.000000,0.255,0.000000,0.255,0.000000,0.255,0.000000
0.260,0.000000,0.260,0.000001,0.260,0.000000,0.260,0.000000,0.260,0.000000,0.260,0.000000,0.260,0.000000
0.265,0.000000,0.265,0.000001,0.265,0.000001,0.265,0.000001,0.265,0.000000,0.265,0.000000,0.265,0.000000
0.270,0.000001,0.270,0.000003,0.270,0.000001,0.270,0.000002,0.270,0.000000,0.270,0.000000,0.270,0.000000
0.275,0.000001,0.275,0.000006,0.275,0.000002,0.275,0.000003,0.275,0.000000,0.275,0.000000,0.275,0.000000
0.280,0.000002,0.280,0.000011,0.280,0.000005,0.280,0.000006,0.280,0.000000,0.280,0.000001,0.280,0.000000
0.285,0.000004,0.285,0.000021,0.285,0.000009,0.285,0.000012,0.285,0.000001,0.285,0.000001,0.285,0.000001
0.290,0.000008,0.290,0.000039,0.290,0.000016,0.290,0.000022,0.290,0.000001,0.290,0.000002,0.290,0.000002
0.295,0.000015,0.295,0.000069,0.295,0.000030,0.295,0.000040,0.295,0.000002,0.295,0.000005,0.295,0.000003
0.300,0.000028,0.300,0.000122,0.300,0.000053,0.300,0.000071,0.300,0.000003,0.300,0.000008,0.300,0.000006
0.305,0.000049,0.305,0.000209,0.305,0.000093,0.305,0.000124,0.305,0.000006,0.305,0.000015,0.305,0.000010
0.310,0.000086,0.310,0.000352,0.310,0.000148,0.310,0.000212,0.310,0.000010,0.310,0.000027,0.310,0.000018
0.315,0.000146,0.315,0.000581,0.315,0.000222,0.315,0.000354,0.315,0.000016,0.315,0.000047,0.315,0.000032
0.320,0.000244,0.320,0.000937,0.320,0.000329,0.320,0.000579,0.320,0.000027,0.320,0.000080,0.320,0.000055
0.325,0.000399,0.325,0.001480,0.325,0.000482,0.325,0.000929,0.325,0.000044,0.325,0.000133,0.325,0.000093
0.330,0.000642,0.330,0.002290,0.330,0.000697,0.330,0.001460,0.330,0.000070,0.330,0.000218,0.330,0.000155
0.335,0.001011,0.335,0.003159,0.335,0.000998,0.335,0.002248,0.335,0.000110,0.335,0.000351,0.335,0.000253
0.340,0.001462,0.340,0.004255,0.340,0.001412,0.340,0.003393,0.340,0.000171,0.340,0.000555,0.340,0.000407
0.345,0.002042,0.345,0.005669,0.345,0.001975,0.345,0.004780,0.345,0.000263,0.345,0.000862,0.345,0.000642
0.350,0.002819,0.350,0.007475,0.350,0.002731,0.350,0.006357,0.350,0.000399,0.350,0.001315,0.350,0.000995
0.355,0.003849,0.355,0.009752,0.355,0.003734,0.355,0.008364,0.355,0.000597,0.355,0.001969,0.355,0.001516
0.360,0.005197,0.360,0.012592,0.360,0.005048,0.360,0.010886,0.360,0.000882,0.360,0.002899,0.360,0.002261
0.365,0.006939,0.365,0.016092,0.365,0.006749,0.365,0.014019,0.365,0.001288,0.365,0.004195,0.365,0.003151
0.370,0.009165,0.370,0.020356,0.370,0.008924,0.370,0.017865,0.370,0.001858,0.370,0.005966,0.370,0.004339
0.375,0.011975,0.375,0.025492,0.375,0.011673,0.375,0.022530,0.375,0.002646,0.375,0.008344,0.375,0.005909
0.380,0.015479,0.380,0.031610,0.380,0.015103,0.380,0.028124,0.380,0.003722,0.380,0.011478,0.380,0.007955
0.385,0.019797,0.385,0.038816,0.385,0.019335,0.385,0.034755,0.385,0.005174,0.385,0.015533,0.385,0.010590
0.390,0.025058,0.390,0.047210,0.390,0.024494,0.390,0.042525,0.390,0.007106,0.390,0.020689,0.390,0.013941
0.395,0.031390,0.395,0.056883,0.395,0.030710,0.395,0.051527,0.395,0.009643,0.395,0.027130,0.395,0.018150
0.400,0.038927,0.400,0.067909,0.400,0.038114,0.400,0.061843,0.400,0.012935,0.400,0.035038,0.400,0.023373
0.405,0.047793,0.405,0.080345,0.405,0.046832,0.405,0.073535,0.405,0.017149,0.405,0.044587,0.405,0.029772
0.410,0.058107,0.410,0.094229,0.410,0.056982,0.410,0.086646,0.410,0.022476,0.410,0.055926,0.410,0.037519
0.415,0.069972,0.415,0.109571,0.415,0.068672,0.415,0.101197,0.415,0.029127,0.415,0.069176,0.415,0.046783
0.420,0.083473,0.420,0.126360,0.420,0.081989,0.420,0.117183,0.420,0.037325,0.420,0.084420,0.420,0.057729
0.425,0.098669,0.425,0.144555,0.425,0.097001,0.425,0.134575,0.425,0.047306,0.425,0.101692,0.425,0.070510
