METRIC,G2018
Vf,0.437320
Sf,0.152672
EG,0.221968
PR,0.284648
GAMMA,0.080806
BS_50,0.008632
BV_50,0.001361
BS_V,-0.008457
GS,0.002698
MM,-0.014799
LO,0.000000
DECL,0.000000
R,5.541284
r,4.252100
Sb,0.152672
Ra,0.576336
Rb,0.076336
Va,0.573553
Vb,0.500000
L_Vf,0.415000
L_Sf,0.069176
U_Vf,0.460000
U_Sf,0.256931
