Vf,S2020_Sf
0.250,0.004485
0.255,0.007099
0.260,0.010805
0.265,0.015829
0.270,0.022338
0.275,0.030402
0.280,0.039948
0.285,0.050753
0.290,0.062442
0.295,0.074530
0.300,0.086479
0.305,0.097771
0.310,0.107969
0.315,0.116775
0.320,0.124043
0.325,0.129777
0.330,0.134102
0.335,0.137221
0.340,0.139372
0.345,0.140791
0.350,0.141690
0.355,0.142239
0.360,0.142567
0.365,0.142769
0.370,0.142907
0.375,0.143026
0.380,0.143160
0.385,0.143336
0.390,0.143582
0.395,0.143930
0.400,0.144430
0.405,0.145151
0.410,0.146156
0.415,0.147537
0.420,0.149406
0.425,0.151899
0.430,0.155173
0.435,0.159411
0.440,0.164816
0.445,0.171608
0.450,0.180017
0.455,0.190274
0.460,0.202603
0.465,0.217203
0.470,0.234239
0.475,0.253825
0.480,0.276010
0.485,0.300769
0.490,0.327994
0.495,0.357488
0.500,0.388968
0.505,0.422071
0.510,0.456366
0.515,0.491372
0.520,0.526579
0.525,0.561474
0.530,0.595563
0.535,0.628402
0.540,0.659613
0.545,0.688905
0.550,0.716089
0.555,0.741078
0.560,0.763887
0.565,0.784626
0.570,0.803478
0.575,0.820681
0.580,0.836502
0.585,0.851207
0.590,0.865039
0.595,0.878197
0.600,0.890820
0.605,0.902979
0.610,0.914683
0.615,0.925884
0.620,0.936495
0.625,0.946408
0.630,0.955512
0.635,0.963713
0.640,0.970947
0.645,0.977186
0.650,0.982442
0.655,0.986766
0.660,0.990235
0.665,0.992951
0.670,0.995023
0.675,0.996565
0.680,0.997683
0.685,0.998473
0.690,0.999017
0.695,0.999382
0.700,0.999621
0.705,0.999773
0.710,0.999867
0.715,0.999924
0.720,0.999958
0.725,0.999977
0.730,0.999988
0.735,0.999994
0.740,0.999997
0.745,0.999998
0.750,0.999999
