Vf,G2018_Sf
0.250,0.003291
0.255,0.005308
0.260,0.008240
0.265,0.012316
0.270,0.017740
0.275,0.024646
0.280,0.033062
0.285,0.042875
0.290,0.053827
0.295,0.065522
0.300,0.077474
0.305,0.089164
0.310,0.100104
0.315,0.109902
0.320,0.118301
0.325,0.125190
0.330,0.130597
0.335,0.134659
0.340,0.137580
0.345,0.139591
0.350,0.140917
0.355,0.141755
0.360,0.142267
0.365,0.142572
0.370,0.142755
0.375,0.142876
0.380,0.142974
0.385,0.143078
0.390,0.143210
0.395,0.143393
0.400,0.143652
0.405,0.144020
0.410,0.144577
0.415,0.145364
0.420,0.146460
0.425,0.147964
0.430,0.149995
0.435,0.152699
0.440,0.156243
0.445,0.160821
0.450,0.166644
0.455,0.173942
0.460,0.182953
0.465,0.193913
0.470,0.207046
0.475,0.222550
0.480,0.240582
0.485,0.261244
0.490,0.284567
0.495,0.310504
0.500,0.338923
0.505,0.369598
0.510,0.402224
0.515,0.436415
0.520,0.471730
0.525,0.507684
0.530,0.543782
0.535,0.579538
0.540,0.614501
0.545,0.648283
0.550,0.680567
0.555,0.711127
0.560,0.739822
0.565,0.766595
0.570,0.791460
0.575,0.814485
0.580,0.835767
0.585,0.855420
0.590,0.873551
0.595,0.890251
0.600,0.905586
0.605,0.919598
0.610,0.932309
0.615,0.943730
0.620,0.953870
0.625,0.962748
0.630,0.970396
0.635,0.976870
0.640,0.982248
0.645,0.986626
0.650,0.990116
0.655,0.992838
0.660,0.994915
0.665,0.996464
0.670,0.997592
0.675,0.998395
0.680,0.998953
0.685,0.999332
0.690,0.999583
0.695,0.999746
0.700,0.999848
0.705,0.999912
0.710,0.999950
0.715,0.999972
0.720,0.999985
0.725,0.999992
0.730,0.999996
0.735,0.999998
0.740,0.999999
0.745,0.999999
0.750,1.000000
