Vf,S2017
0.250,0.000119
0.255,0.000222
0.260,0.000400
0.265,0.000699
0.270,0.001183
0.275,0.001941
0.280,0.003084
0.285,0.004752
0.290,0.007100
0.295,0.010294
0.300,0.014488
0.305,0.019807
0.310,0.026321
0.315,0.034024
0.320,0.042823
0.325,0.052527
0.330,0.062864
0.335,0.073496
0.340,0.084057
0.345,0.094188
0.350,0.103575
0.355,0.111977
0.360,0.119241
0.365,0.125311
0.370,0.130219
0.375,0.134065
0.380,0.136998
0.385,0.139190
0.390,0.140824
0.395,0.142074
0.400,0.143101
0.405,0.144050
0.410,0.145053
0.415,0.146233
0.420,0.147713
0.425,0.149618
0.430,0.152080
0.435,0.155245
0.440,0.159270
0.445,0.164326
0.450,0.170592
0.455,0.178252
0.460,0.187488
0.465,0.198472
0.470,0.211358
0.475,0.226270
0.480,0.243297
0.485,0.262477
0.490,0.283798
0.495,0.307188
0.500,0.332513
0.505,0.359581
0.510,0.389191
0.515,0.422235
0.520,0.456462
0.525,0.491392
0.530,0.526510
0.535,0.561292
0.540,0.595228
0.545,0.627845
0.550,0.658730
0.555,0.687546
0.560,0.714049
0.565,0.738099
0.570,0.759656
0.575,0.778788
0.580,0.795655
0.585,0.810504
0.590,0.823644
0.595,0.835429
0.600,0.846229
0.605,0.856406
0.610,0.866286
0.615,0.876131
0.620,0.886123
0.625,0.896349
0.630,0.906803
0.635,0.917389
0.640,0.927943
0.645,0.938252
0.650,0.948091
0.655,0.957245
0.660,0.965533
0.665,0.972831
0.670,0.979077
0.675,0.984269
0.680,0.988460
0.685,0.991745
0.690,0.994244
0.695,0.996090
0.700,0.997413
0.705,0.998334
0.710,0.998955
0.715,0.999363
0.720,0.999622
0.725,0.999782
0.730,0.999877
0.735,0.999933
0.740,0.999964
0.745,0.999982
0.750,0.999991
