METRIC,composite,P2020,P2016,S2020,S2017,G2018,AG2018
Vf,0.400204,0.370886,0.356212,0.398035,0.508261,0.404493,0.411679
Sf,0.143762,0.142946,0.142867,0.144208,0.378057,0.143974,0.144852
EG,0.156646,0.098826,0.069557,0.151862,0.138465,0.165012,0.178506
PR,0.256442,0.227940,0.213345,0.253827,0.130204,0.260519,0.266827
GAMMA,0.347433,0.355672,0.356785,0.345592,0.170866,0.348993,0.341313
BS_50,0.143827,0.115176,0.152544,0.111032,0.167487,0.161077,0.158315
BV_50,0.020904,0.016500,0.022513,0.016225,0.026226,0.023931,0.023345
BS_V,-0.016635,-0.049448,-0.063340,-0.019916,0.164587,-0.017894,-0.005108
GS,0.052729,0.050401,0.061463,0.045862,0.041769,0.056430,0.054754
MM,0.029902,0.019543,0.030546,0.020902,0.020008,0.023438,0.023881
LO,0.032006,-0.015787,-0.040786,0.026313,0.031486,0.031467,0.043735
DECL,49.130112,43.657583,40.757105,48.446225,14.825599,49.084569,50.378539
R,3.569657,2.765419,2.483750,3.489351,-14.761346,3.727747,4.021110
r,0.088228,0.010710,0.002424,0.100032,5.922065,0.073639,0.156649
Sb,0.143762,0.142946,0.142867,0.144208,0.378057,0.143974,0.144852
Ra,0.571881,0.571473,0.571433,0.572104,0.689028,0.571987,0.572426
Rb,0.071881,0.071473,0.071433,0.072104,0.189028,0.071987,0.072426
Va,0.650827,0.677589,0.697629,0.648558,0.558832,0.646152,0.638416
Vb,0.317168,0.338198,0.343157,0.325128,0.409682,0.322381,0.317849
L_Vf,0.380000,0.350000,0.335000,0.375000,0.485000,0.380000,0.390000
L_Sf,0.143018,0.142739,0.142627,0.143026,0.262477,0.142974,0.143230
U_Vf,0.425000,0.395000,0.380000,0.420000,0.530000,0.425000,0.435000
U_Sf,0.148661,0.143674,0.143017,0.149406,0.526510,0.147964,0.152840
