Vf,composite,Vf,P2020,Vf,P2016,Vf,S2020,Vf,S2017,Vf,G2018,Vf,AG2018
0.250,0.005059,0.250,0.012775,0.250,0.023554,0.250,0.004485,0.250,0.000119,0.250,0.003291,0.250,0.002661
0.255,0.007944,0.255,0.018729,0.255,0.032629,0.255,0.007099,0.255,0.000222,0.255,0.005308,0.255,0.004346
0.260,0.011995,0.260,0.026368,0.260,0.043395,0.260,0.010805,0.260,0.000400,0.260,0.008240,0.260,0.006833
0.265,0.017430,0.265,0.035693,0.265,0.055508,0.265,0.015829,0.265,0.000699,0.265,0.012316,0.265,0.010347
0.270,0.024395,0.270,0.046527,0.270,0.068433,0.270,0.022338,0.270,0.001183,0.270,0.017740,0.270,0.015103
0.275,0.032926,0.275,0.058506,0.275,0.081516,0.275,0.030402,0.275,0.001941,0.275,0.024646,0.275,0.021268
0.280,0.042907,0.280,0.071109,0.280,0.094075,0.280,0.039948,0.280,0.003084,0.280,0.033062,0.280,0.028921
0.285,0.054065,0.285,0.083727,0.285,0.105510,0.285,0.050753,0.285,0.004752,0.285,0.042875,0.285,0.038018
0.290,0.065985,0.290,0.095751,0.290,0.115386,0.290,0.062442,0.290,0.007100,0.290,0.053827,0.290,0.048374
0.295,0.078149,0.295,0.106653,0.295,0.123475,0.295,0.074530,0.295,0.010294,0.295,0.065522,0.295,0.059665
0.300,0.090012,0.300,0.116060,0.300,0.129760,0.300,0.086479,0.300,0.014488,0.300,0.077474,0.300,0.071454
0.305,0.101064,0.305,0.123785,0.305,0.134391,0.305,0.097771,0.305,0.019807,0.305,0.089164,0.305,0.083242
0.310,0.110902,0.310,0.129821,0.310,0.137628,0.310,0.107969,0.310,0.026321,0.310,0.100104,0.310,0.094530
0.315,0.119270,0.315,0.134310,0.315,0.139773,0.315,0.116775,0.315,0.034024,0.315,0.109902,0.315,0.104881
0.320,0.126071,0.320,0.137487,0.320,0.141122,0.320,0.124043,0.320,0.042823,0.320,0.118301,0.320,0.113972
0.325,0.131351,0.325,0.139626,0.325,0.141927,0.325,0.129777,0.325,0.052527,0.325,0.125190,0.325,0.121619
0.330,0.135269,0.330,0.140998,0.330,0.142383,0.330,0.134102,0.330,0.062864,0.330,0.130597,0.330,0.127778
0.335,0.138046,0.335,0.141835,0.335,0.142627,0.335,0.137221,0.335,0.073496,0.335,0.134659,0.335,0.132530
0.340,0.139928,0.340,0.142322,0.340,0.142753,0.340,0.139372,0.340,0.084057,0.340,0.137580,0.340,0.136040
0.345,0.141148,0.345,0.142593,0.345,0.142815,0.345,0.140791,0.345,0.094188,0.345,0.139591,0.345,0.138526
0.350,0.141904,0.350,0.142739,0.350,0.142846,0.350,0.141690,0.350,0.103575,0.350,0.140917,0.350,0.140211
0.355,0.142355,0.355,0.142818,0.355,0.142863,0.355,0.142239,0.355,0.111977,0.355,0.141755,0.355,0.141309
0.360,0.142617,0.360,0.142864,0.360,0.142875,0.360,0.142567,0.360,0.119241,0.360,0.142267,0.360,0.141998
0.365,0.142769,0.365,0.142899,0.365,0.142892,0.365,0.142769,0.365,0.125311,0.365,0.142572,0.365,0.142417
0.370,0.142865,0.370,0.142938,0.370,0.142917,0.370,0.142907,0.370,0.130219,0.370,0.142755,0.370,0.142673
0.375,0.142940,0.375,0.142991,0.375,0.142956,0.375,0.143026,0.375,0.134065,0.375,0.142876,0.375,0.142837
0.380,0.143018,0.380,0.143074,0.380,0.143017,0.380,0.143160,0.380,0.136998,0.380,0.142974,0.380,0.142962
0.385,0.143119,0.385,0.143200,0.385,0.143109,0.385,0.143336,0.385,0.139190,0.385,0.143078,0.385,0.143083
0.390,0.143259,0.390,0.143391,0.390,0.143247,0.390,0.143582,0.390,0.140824,0.390,0.143210,0.390,0.143230
0.395,0.143461,0.395,0.143674,0.395,0.143453,0.395,0.143930,0.395,0.142074,0.395,0.143393,0.395,0.143427
0.400,0.143748,0.400,0.144088,0.400,0.143755,0.400,0.144430,0.400,0.143101,0.400,0.143652,0.400,0.143703
0.405,0.144190,0.405,0.144685,0.405,0.144191,0.405,0.145151,0.405,0.144050,0.405,0.144020,0.405,0.144090
0.410,0.144823,0.410,0.145533,0.410,0.144812,0.410,0.146156,0.410,0.145053,0.410,0.144577,0.410,0.144628
0.415,0.145717,0.415,0.146718,0.415,0.145683,0.415,0.147537,0.415,0.146233,0.415,0.145364,0.415,0.145412
0.420,0.146960,0.420,0.148347,0.420,0.146889,0.420,0.149406,0.420,0.147713,0.420,0.146460,0.420,0.146523
0.425,0.148661,0.425,0.150554,0.425,0.148531,0.425,0.151899,0.425,0.149618,0.425,0.147964,0.425,0.148046
0.430,0.150954,0.430,0.153496,0.430,0.150738,0.430,0.155173,0.430,0.152080,0.430,0.149995,0.430,0.150103
0.435,0.154000,0.435,0.157358,0.435,0.153658,0.435,0.159411,0.435,0.155245,0.435,0.152699,0.435,0.152840
0.440,0.157982,0.440,0.162349,0.440,0.157469,0.440,0.164816,0.440,0.159270,0.440,0.156243,0.440,0.156428
0.445,0.163112,0.445,0.168698,0.445,0.162367,0.445,0.171608,0.445,0.164326,0.445,0.160821,0.445,0.161063
0.450,0.169619,0.450,0.176651,0.450,0.168571,0.450,0.180017,0.450,0.170592,0.450,0.166644,0.450,0.166961
0.455,0.177747,0.455,0.186457,0.455,0.176314,0.455,0.190274,0.455,0.178252,0.455,0.173942,0.455,0.174355
0.460,0.187747,0.460,0.198360,0.460,0.185838,0.460,0.202603,0.460,0.187488,0.460,0.182953,0.460,0.183488
0.465,0.199862,0.465,0.212585,0.465,0.197377,0.465,0.217203,0.465,0.198472,0.465,0.193913,0.465,0.194601
0.470,0.214314,0.470,0.229322,0.470,0.211153,0.470,0.234239,0.470,0.211358,0.470,0.207046,0.470,0.207923
0.475,0.231292,0.475,0.248707,0.475,0.227355,0.475,0.253825,0.475,0.226270,0.475,0.222550,0.475,0.223654
0.480,0.250931,0.480,0.270811,0.480,0.246129,0.480,0.276010,0.480,0.243297,0.480,0.240582,0.480,0.241952
0.485,0.273298,0.485,0.295624,0.485,0.267558,0.485,0.300769,0.485,0.262477,0.485,0.261244,0.485,0.262919
0.490,0.298380,0.490,0.323044,0.490,0.291652,0.490,0.327994,0.490,0.283798,0.490,0.284567,0.490,0.286581
0.495,0.326072,0.495,0.352875,0.495,0.318340,0.495,0.357488,0.495,0.307188,0.495,0.310504,0.495,0.312885
