METRIC,S2020
Vf,0.398035
Sf,0.144208
EG,0.151862
PR,0.253827
GAMMA,0.345592
BS_50,0.111032
BV_50,0.016225
BS_V,-0.019916
GS,0.045862
MM,0.020902
LO,0.026313
DECL,48.446225
R,3.489351
r,0.100032
Sb,0.144208
Ra,0.572104
Rb,0.072104
Va,0.648558
Vb,0.325128
L_Vf,0.375000
L_Sf,0.143026
U_Vf,0.420000
U_Sf,0.149406
