Vf,AG2018_Sf
0.250,0.002661
0.255,0.004346
0.260,0.006833
0.265,0.010347
0.270,0.015103
0.275,0.021268
0.280,0.028921
0.285,0.038018
0.290,0.048374
0.295,0.059665
0.300,0.071454
0.305,0.083242
0.310,0.094530
0.315,0.104881
0.320,0.113972
0.325,0.121619
0.330,0.127778
0.335,0.132530
0.340,0.136040
0.345,0.138526
0.350,0.140211
0.355,0.141309
0.360,0.141998
0.365,0.142417
0.370,0.142673
0.375,0.142837
0.380,0.142962
0.385,0.143083
0.390,0.143230
0.395,0.143427
0.400,0.143703
0.405,0.144090
0.410,0.144628
0.415,0.145412
0.420,0.146523
0.425,0.148046
0.430,0.150103
0.435,0.152840
0.440,0.156428
0.445,0.161063
0.450,0.166961
0.455,0.174355
0.460,0.183488
0.465,0.194601
0.470,0.207923
0.475,0.223654
0.480,0.241952
0.485,0.262919
0.490,0.286581
0.495,0.312885
0.500,0.341685
0.505,0.372743
0.510,0.405732
0.515,0.440247
0.520,0.475823
0.525,0.511956
0.530,0.548129
0.535,0.583838
0.540,0.618624
0.545,0.652091
0.550,0.683927
0.555,0.713915
0.560,0.741935
0.565,0.767956
0.570,0.792023
0.575,0.814241
0.580,0.834747
0.585,0.853688
0.590,0.871207
0.595,0.887417
0.600,0.902403
0.605,0.916213
0.610,0.928865
0.615,0.940357
0.620,0.950679
0.625,0.959822
0.630,0.967793
0.635,0.974620
0.640,0.980356
0.645,0.985078
0.650,0.988882
0.655,0.991881
0.660,0.994191
0.665,0.995930
0.670,0.997209
0.675,0.998127
0.680,0.998770
0.685,0.999211
0.690,0.999504
0.695,0.999696
0.700,0.999818
0.705,0.999893
0.710,0.999939
0.715,0.999966
0.720,0.999981
0.725,0.999990
0.730,0.999995
0.735,0.999997
0.740,0.999999
0.745,0.999999
0.750,1.000000
