Vf,P2020
0.250,0.012775
0.255,0.018729
0.260,0.026368
0.265,0.035693
0.270,0.046527
0.275,0.058506
0.280,0.071109
0.285,0.083727
0.290,0.095751
0.295,0.106653
0.300,0.116060
0.305,0.123785
0.310,0.129821
0.315,0.134310
0.320,0.137487
0.325,0.139626
0.330,0.140998
0.335,0.141835
0.340,0.142322
0.345,0.142593
0.350,0.142739
0.355,0.142818
0.360,0.142864
0.365,0.142899
0.370,0.142938
0.375,0.142991
0.380,0.143074
0.385,0.143200
0.390,0.143391
0.395,0.143674
0.400,0.144088
0.405,0.144685
0.410,0.145533
0.415,0.146718
0.420,0.148347
0.425,0.150554
0.430,0.153496
0.435,0.157358
0.440,0.162349
0.445,0.168698
0.450,0.176651
0.455,0.186457
0.460,0.198360
0.465,0.212585
0.470,0.229322
0.475,0.248707
0.480,0.270811
0.485,0.295624
0.490,0.323044
0.495,0.352875
0.500,0.384824
0.505,0.418510
0.510,0.453477
0.515,0.489213
0.520,0.525176
0.525,0.560817
0.530,0.595613
0.535,0.629095
0.540,0.660866
0.545,0.690628
0.550,0.718186
0.555,0.743461
0.560,0.766480
0.565,0.787364
0.570,0.806313
0.575,0.823579
0.580,0.839438
0.585,0.854163
0.590,0.867999
0.595,0.881143
0.600,0.893728
0.605,0.905822
0.610,0.917427
0.615,0.928494
0.620,0.938934
0.625,0.948644
0.630,0.957521
0.635,0.965478
0.640,0.972463
0.645,0.978457
0.650,0.983483
0.655,0.987597
0.660,0.990883
0.665,0.993443
0.670,0.995387
0.675,0.996827
0.680,0.997867
0.685,0.998599
0.690,0.999101
0.695,0.999437
0.700,0.999655
0.705,0.999794
0.710,0.999880
0.715,0.999932
0.720,0.999962
0.725,0.999979
0.730,0.999989
0.735,0.999994
0.740,0.999997
0.745,0.999999
0.750,0.999999
