METRIC,composite,P2020,P2016,S2020,S2017,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.400204,0.370886,0.356212,0.398035,0.508261,0.404493,0.411679,0.408261,0.021784,0.053358,-0.008057,-0.019735,-0.369859
Sf,0.143762,0.142946,0.142867,0.144208,0.378057,0.143974,0.144852,0.182817,0.039049,0.213596,-0.039055,-0.213629,-1.000154
EG,0.156646,0.098826,0.069557,0.151862,0.138465,0.165012,0.178506,0.133705,0.017001,0.127153,0.022941,0.171579,1.349391
PR,0.256442,0.227940,0.213345,0.253827,0.130204,0.260519,0.266827,0.225444,0.020794,0.092236,0.030998,0.137498,1.490718
GAMMA,0.347433,0.355672,0.356785,0.345592,0.170866,0.348993,0.341313,0.319870,0.029898,0.093469,0.027563,0.086169,0.921901
BS_50,0.143827,0.115176,0.152544,0.111032,0.167487,0.161077,0.158315,0.144272,0.010064,0.069757,-0.000445,-0.003084,-0.044217
BV_50,0.020904,0.016500,0.022513,0.016225,0.026226,0.023931,0.023345,0.021457,0.001688,0.078669,-0.000553,-0.025772,-0.327607
BS_V,-0.016635,-0.049448,-0.063340,-0.019916,0.164587,-0.017894,-0.005108,0.001480,0.033801,22.838514,-0.018115,-12.239865,-0.535931
GS,0.052729,0.050401,0.061463,0.045862,0.041769,0.056430,0.054754,0.051780,0.002952,0.057010,0.000949,0.018328,0.321477
MM,0.029902,0.019543,0.030546,0.020902,0.020008,0.023438,0.023881,0.023053,0.001665,0.072225,0.006849,0.297098,4.113514
LO,0.032006,-0.015787,-0.040786,0.026313,0.031486,0.031467,0.043735,0.012738,0.013572,1.065473,0.019268,1.512639,1.419688
DECL,49.130112,43.657583,40.757105,48.446225,14.825599,49.084569,50.378539,41.191603,5.479551,0.133026,7.938509,0.192722,1.448752
R,3.569657,2.765419,2.483750,3.489351,-14.761346,3.727747,4.021110,0.287672,3.019152,10.495119,3.281985,11.408775,1.087055
r,0.088228,0.010710,0.002424,0.100032,5.922065,0.073639,0.156649,1.044253,0.975844,0.934490,-0.956025,-0.915511,-0.979690
Sb,0.143762,0.142946,0.142867,0.144208,0.378057,0.143974,0.144852,0.182817,0.039049,0.213596,-0.039055,-0.213629,-1.000154
Ra,0.571881,0.571473,0.571433,0.572104,0.689028,0.571987,0.572426,0.591409,0.019525,0.033014,-0.019528,-0.033019,-1.000154
Rb,0.071881,0.071473,0.071433,0.072104,0.189028,0.071987,0.072426,0.091409,0.019525,0.213600,-0.019528,-0.213633,-1.000154
Va,0.650827,0.677589,0.697629,0.648558,0.558832,0.646152,0.638416,0.644529,0.019419,0.030129,0.006298,0.009771,0.324322
Vb,0.317168,0.338198,0.343157,0.325128,0.409682,0.322381,0.317849,0.342732,0.013960,0.040732,-0.025564,-0.074589,-1.831232
L_Vf,0.380000,0.350000,0.335000,0.375000,0.485000,0.380000,0.390000,0.385833,0.021503,0.055731,-0.005833,-0.015118,-0.271264
L_Sf,0.143018,0.142739,0.142627,0.143026,0.262477,0.142974,0.143230,0.162846,0.019926,0.122361,-0.019828,-0.121759,-0.995082
U_Vf,0.425000,0.395000,0.380000,0.420000,0.530000,0.425000,0.435000,0.430833,0.021503,0.049910,-0.005833,-0.013539,-0.271264
U_Sf,0.148661,0.143674,0.143017,0.149406,0.526510,0.147964,0.152840,0.210569,0.063206,0.300168,-0.061908,-0.294003,-0.979464
