METRIC,G2018
Vf,0.404493
Sf,0.143974
EG,0.165012
PR,0.260519
GAMMA,0.348993
BS_50,0.161077
BV_50,0.023931
BS_V,-0.017894
GS,0.056430
MM,0.023438
LO,0.031467
DECL,49.084569
R,3.727747
r,0.073639
Sb,0.143974
Ra,0.571987
Rb,0.071987
Va,0.646152
Vb,0.322381
L_Vf,0.380000
L_Sf,0.142974
U_Vf,0.425000
U_Sf,0.147964
