METRIC,AG2018
Vf,0.503321
Sf,0.381117
EG,0.125525
PR,0.122204
GAMMA,0.128741
BS_50,0.128396
BV_50,0.034540
BS_V,0.128050
GS,0.044658
MM,0.045038
LO,0.065194
DECL,22.797094
R,-35.797339
r,2.968391
Sb,0.381117
Ra,0.690559
Rb,0.190559
Va,0.579246
Vb,0.355561
L_Vf,0.480000
L_Sf,0.321053
U_Vf,0.525000
U_Sf,0.459097
