METRIC,P2016
Vf,0.495930
Sf,0.332701
EG,0.159159
PR,0.163229
GAMMA,0.156850
BS_50,0.156610
BV_50,0.042455
BS_V,0.156074
GS,0.058172
MM,0.053456
LO,0.083414
DECL,31.068430
R,41.105428
r,2.567383
Sb,0.332701
Ra,0.666350
Rb,0.166350
Va,0.585915
Vb,0.330671
L_Vf,0.475000
L_Sf,0.291951
U_Vf,0.520000
U_Sf,0.406684
