METRIC,G2018
Vf,0.505586
Sf,0.387005
EG,0.124167
PR,0.118581
GAMMA,0.130205
BS_50,0.128564
BV_50,0.037018
BS_V,0.128166
GS,0.046883
MM,0.045948
LO,0.068200
DECL,22.834678
R,-20.228247
r,3.080901
Sb,0.387005
Ra,0.693503
Rb,0.193503
Va,0.581379
Vb,0.350420
L_Vf,0.485000
L_Sf,0.333106
U_Vf,0.530000
U_Sf,0.471420
