Vf,AG2018
0.250,0.000077
0.255,0.000147
0.260,0.000271
0.265,0.000485
0.270,0.000841
0.275,0.001416
0.280,0.002314
0.285,0.003672
0.290,0.005659
0.295,0.008477
0.300,0.012345
0.305,0.017490
0.310,0.024123
0.315,0.032410
0.320,0.042450
0.325,0.054247
0.330,0.067695
0.335,0.082572
0.340,0.098552
0.345,0.115222
0.350,0.132118
0.355,0.148762
0.360,0.164705
0.365,0.179560
0.370,0.193031
0.375,0.204928
0.380,0.215170
0.385,0.223778
0.390,0.230858
0.395,0.236581
0.400,0.241163
0.405,0.244842
0.410,0.247862
0.415,0.250461
0.420,0.252859
0.425,0.255262
0.430,0.257851
0.435,0.260790
0.440,0.264223
0.445,0.268280
0.450,0.273069
0.455,0.278686
0.460,0.285204
0.465,0.292679
0.470,0.301144
0.475,0.310607
0.480,0.321053
0.485,0.332444
0.490,0.344721
0.495,0.357805
0.500,0.371604
0.505,0.386446
0.510,0.403009
0.515,0.420622
0.520,0.439309
0.525,0.459097
0.530,0.480002
0.535,0.502025
0.540,0.525137
0.545,0.549268
0.550,0.574303
0.555,0.600076
0.560,0.626377
0.565,0.652959
0.570,0.679553
0.575,0.705885
0.580,0.731694
0.585,0.756748
0.590,0.780854
0.595,0.803862
0.600,0.825668
0.605,0.846202
0.610,0.865422
0.615,0.883303
0.620,0.899824
0.625,0.914969
0.630,0.928721
0.635,0.941067
0.640,0.952002
0.645,0.961540
0.650,0.969716
0.655,0.976593
0.660,0.982258
0.665,0.986824
0.670,0.990421
0.675,0.993188
0.680,0.995264
0.685,0.996782
0.690,0.997865
0.695,0.998617
0.700,0.999126
0.705,0.999461
0.710,0.999676
0.715,0.999810
0.720,0.999891
0.725,0.999940
0.730,0.999967
0.735,0.999983
0.740,0.999991
0.745,0.999996
0.750,0.999998
