METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.506773,Vf,0.503205,Vf,0.495930,Vf,0.554194,Vf,0.482701,Vf,0.505586,Vf,0.503321
Sf,0.379635,Sf,0.341362,Sf,0.332701,Sf,0.589051,Sf,0.329729,Sf,0.387005,Sf,0.381117
EG,0.133911,EG,0.165048,EG,0.159159,EG,0.019337,EG,0.135673,EG,0.124167,EG,0.125525
PR,0.127138,PR,0.161843,PR,0.163229,PR,-0.034857,PR,0.152972,PR,0.118581,PR,0.122204
GAMMA,0.141341,GAMMA,0.166998,GAMMA,0.156850,GAMMA,0.130246,GAMMA,0.130204,GAMMA,0.130205,GAMMA,0.128741
BS_50,0.139396,BS_50,0.166501,BS_50,0.156610,BS_50,0.109697,BS_50,0.123549,BS_50,0.128564,BS_50,0.128396
BV_50,0.038347,BV_50,0.042814,BV_50,0.042455,BV_50,0.031026,BV_50,0.033523,BV_50,0.037018,BV_50,0.034540
BS_V,0.138527,BS_V,0.166003,BS_V,0.156074,BS_V,0.069031,BS_V,0.117664,BS_V,0.128166,BS_V,0.128050
GS,0.049893,GS,0.060286,GS,0.058172,GS,0.032237,GS,0.047855,GS,0.046883,GS,0.044658
MM,0.046760,MM,0.054439,MM,0.053456,MM,0.039760,MM,0.041538,MM,0.045948,MM,0.045038
LO,0.074406,LO,0.095488,LO,0.083414,LO,0.082938,LO,0.055039,LO,0.068200,LO,0.065194
DECL,24.627522,DECL,32.137260,DECL,31.068430,DECL,11.319447,DECL,26.491372,DECL,22.834678,DECL,22.797094
R,-17.771247,R,-49.497030,R,41.105428,R,1.643194,R,9.842849,R,-20.228247,R,-35.797339
r,3.097118,r,2.608547,r,2.567383,r,4.046528,r,2.316146,r,3.080901,r,2.968391
Sb,0.379635,Sb,0.341362,Sb,0.332701,Sb,0.589051,Sb,0.329729,Sb,0.387005,Sb,0.381117
Ra,0.689818,Ra,0.670681,Ra,0.666350,Ra,0.794526,Ra,0.664864,Ra,0.693503,Ra,0.690559
Rb,0.189818,Rb,0.170681,Rb,0.166350,Rb,0.294526,Rb,0.164864,Rb,0.193503,Rb,0.190559
Va,0.576215,Va,0.574858,Va,0.585915,Va,0.543119,Va,0.595412,Va,0.581379,Va,0.579246
Vb,0.349379,Vb,0.329654,Vb,0.330671,Vb,0.373943,Vb,0.349548,Vb,0.350420,Vb,0.355561
L_Vf,0.485000,L_Vf,0.480000,L_Vf,0.475000,L_Vf,0.530000,L_Vf,0.460000,L_Vf,0.485000,L_Vf,0.480000
L_Sf,0.323226,L_Sf,0.293525,L_Sf,0.291951,L_Sf,0.496118,L_Sf,0.287189,L_Sf,0.333106,L_Sf,0.321053
U_Vf,0.530000,U_Vf,0.525000,U_Vf,0.520000,U_Vf,0.575000,U_Vf,0.505000,U_Vf,0.530000,U_Vf,0.525000
U_Sf,0.463920,U_Sf,0.416803,U_Sf,0.406684,U_Sf,0.694194,U_Sf,0.392096,U_Sf,0.471420,U_Sf,0.459097
