Vf,G2018
0.250,0.000086
0.255,0.000163
0.260,0.000302
0.265,0.000540
0.270,0.000938
0.275,0.001580
0.280,0.002584
0.285,0.004102
0.290,0.006322
0.295,0.009468
0.300,0.013781
0.305,0.019508
0.310,0.026869
0.315,0.036033
0.320,0.047082
0.325,0.059986
0.330,0.074587
0.335,0.090596
0.340,0.107605
0.345,0.125122
0.350,0.142612
0.355,0.159544
0.360,0.175444
0.365,0.189928
0.370,0.202735
0.375,0.213733
0.380,0.222917
0.385,0.230387
0.390,0.236328
0.395,0.240977
0.400,0.244596
0.405,0.247455
0.410,0.249808
0.415,0.251890
0.420,0.253910
0.425,0.256053
0.430,0.258481
0.435,0.261336
0.440,0.264744
0.445,0.268816
0.450,0.273650
0.455,0.279326
0.460,0.285908
0.465,0.293439
0.470,0.301941
0.475,0.311409
0.480,0.321815
0.485,0.333106
0.490,0.345204
0.495,0.358017
0.500,0.371436
0.505,0.385348
0.510,0.400752
0.515,0.417096
0.520,0.434288
0.525,0.452376
0.530,0.471420
0.535,0.491476
0.540,0.512591
0.545,0.534781
0.550,0.558023
0.555,0.582244
0.560,0.607316
0.565,0.633058
0.570,0.659243
0.575,0.685614
0.580,0.711897
0.585,0.737821
0.590,0.763132
0.595,0.787604
0.600,0.811048
0.605,0.833308
0.610,0.854264
0.615,0.873822
0.620,0.891912
0.625,0.908479
0.630,0.923486
0.635,0.936913
0.640,0.948758
0.645,0.959046
0.650,0.967828
0.655,0.975185
0.660,0.981226
0.665,0.986079
0.670,0.989893
0.675,0.992819
0.680,0.995011
0.685,0.996613
0.690,0.997753
0.695,0.998545
0.700,0.999081
0.705,0.999433
0.710,0.999659
0.715,0.999800
0.720,0.999886
0.725,0.999936
0.730,0.999965
0.735,0.999982
0.740,0.999991
0.745,0.999995
0.750,0.999998
