METRIC,S2016
Vf,0.482701
Sf,0.329729
EG,0.135673
PR,0.152972
GAMMA,0.130204
BS_50,0.123549
BV_50,0.033523
BS_V,0.117664
GS,0.047855
MM,0.041538
LO,0.055039
DECL,26.491372
R,9.842849
r,2.316146
Sb,0.329729
Ra,0.664864
Rb,0.164864
Va,0.595412
Vb,0.349548
L_Vf,0.460000
L_Sf,0.287189
U_Vf,0.505000
U_Sf,0.392096
