METRIC,S2018
Vf,0.554194
Sf,0.589051
EG,0.019337
PR,-0.034857
GAMMA,0.130246
BS_50,0.109697
BV_50,0.031026
BS_V,0.069031
GS,0.032237
MM,0.039760
LO,0.082938
DECL,11.319447
R,1.643194
r,4.046528
Sb,0.589051
Ra,0.794526
Rb,0.294526
Va,0.543119
Vb,0.373943
L_Vf,0.530000
L_Sf,0.496118
U_Vf,0.575000
U_Sf,0.694194
