METRIC,S2018
Vf,0.470017
Sf,0.301185
EG,0.138849
PR,0.168832
GAMMA,0.156016
BS_50,0.148355
BV_50,0.052080
BS_V,0.137484
GS,0.065369
MM,0.070389
LO,0.062778
DECL,31.595157
R,6.630923
r,1.427433
Sb,0.301185
Ra,0.650593
Rb,0.150593
Va,0.628704
Vb,0.308519
L_Vf,0.450000
L_Sf,0.276745
U_Vf,0.495000
U_Sf,0.341933
