METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2020,METRIC,AG2020
Vf,0.427916,Vf,0.421642,Vf,0.401814,Vf,0.470017,Vf,0.485392,Vf,0.416084,Vf,0.389379
Sf,0.262200,Sf,0.270255,Sf,0.251460,Sf,0.301185,Sf,0.298732,Sf,0.261898,Sf,0.250500
EG,0.093632,EG,0.073029,EG,0.052168,EG,0.138849,EG,0.172052,EG,0.070270,EG,0.028258
PR,0.165716,PR,0.151387,PR,0.150354,PR,0.168832,PR,0.186660,PR,0.154186,PR,0.138879
GAMMA,0.197911,GAMMA,0.168837,GAMMA,0.233134,GAMMA,0.156016,GAMMA,0.174423,GAMMA,0.191639,GAMMA,0.232007
BS_50,0.148836,BS_50,0.133459,BS_50,0.161600,BS_50,0.148355,BS_50,0.170543,BS_50,0.138626,BS_50,0.152505
BV_50,0.050489,BV_50,0.051116,BV_50,0.051319,BV_50,0.052080,BV_50,0.045800,BV_50,0.049308,BV_50,0.047724
BS_V,0.063712,BS_V,0.045980,BS_V,-0.015677,BS_V,0.137484,BS_V,0.164902,BS_V,0.024302,BS_V,-0.057237
GS,0.074482,GS,0.073493,GS,0.082760,GS,0.065369,GS,0.061924,GS,0.074729,GS,0.082571
MM,0.077891,MM,0.082618,MM,0.084098,MM,0.070389,MM,0.056946,MM,0.080141,MM,0.080975
LO,0.030524,LO,0.020192,LO,-0.002797,LO,0.062778,LO,0.085772,LO,0.013283,LO,-0.021959
DECL,32.070353,DECL,29.692808,DECL,29.300767,DECL,31.595157,DECL,35.280714,DECL,29.847388,DECL,26.930624
R,3.298922,R,2.931990,R,2.531320,R,6.630923,R,13.777917,R,2.837387,R,2.255446
r,0.553368,r,0.777297,r,0.156910,r,1.427433,r,1.837657,r,0.553682,r,0.158135
Sb,0.262200,Sb,0.270255,Sb,0.251460,Sb,0.301185,Sb,0.298732,Sb,0.261898,Sb,0.250500
Ra,0.631100,Ra,0.635128,Ra,0.625730,Ra,0.650593,Ra,0.649366,Ra,0.630949,Ra,0.625250
Rb,0.131100,Rb,0.135128,Rb,0.125730,Rb,0.150593,Rb,0.149366,Rb,0.130949,Rb,0.125250
Va,0.666890,Va,0.676089,Va,0.695733,Va,0.628704,Va,0.601069,Va,0.677359,Va,0.704771
Vb,0.302586,Vb,0.303719,Vb,0.307064,Vb,0.308519,Vb,0.313159,Vb,0.309358,Vb,0.317188
L_Vf,0.405000,L_Vf,0.400000,L_Vf,0.380000,L_Vf,0.450000,L_Vf,0.465000,L_Vf,0.395000,L_Vf,0.365000
L_Sf,0.252554,L_Sf,0.256491,L_Sf,0.246554,L_Sf,0.276745,L_Sf,0.272906,L_Sf,0.252364,L_Sf,0.243425
U_Vf,0.450000,U_Vf,0.445000,U_Vf,0.425000,U_Vf,0.495000,U_Vf,0.510000,U_Vf,0.440000,U_Vf,0.410000
U_Sf,0.278487,U_Sf,0.291613,U_Sf,0.256801,U_Sf,0.341933,U_Sf,0.356850,U_Sf,0.279018,U_Sf,0.253806
