Vf,AG2020
0.250,0.052500
0.255,0.064913
0.260,0.077364
0.265,0.089233
0.270,0.100064
0.275,0.109643
0.280,0.118019
0.285,0.125459
0.290,0.132370
0.295,0.139191
0.300,0.146312
0.305,0.153999
0.310,0.162369
0.315,0.171380
0.320,0.180854
0.325,0.190516
0.330,0.200041
0.335,0.209102
0.340,0.217414
0.345,0.224763
0.350,0.231029
0.355,0.236183
0.360,0.240276
0.365,0.243425
0.370,0.245781
0.375,0.247515
0.380,0.248795
0.385,0.249778
0.390,0.250568
0.395,0.251166
0.400,0.251880
0.405,0.252746
0.410,0.253806
0.415,0.255102
0.420,0.256681
0.425,0.258587
0.430,0.260866
0.435,0.263561
0.440,0.266711
0.445,0.270351
0.450,0.274508
0.455,0.279204
0.460,0.284454
0.465,0.290267
0.470,0.296649
0.475,0.303605
0.480,0.311140
0.485,0.319268
0.490,0.328010
0.495,0.337401
0.500,0.347495
0.505,0.358361
0.510,0.370094
0.515,0.382805
0.520,0.396623
0.525,0.411693
0.530,0.428162
0.535,0.446175
0.540,0.465860
0.545,0.487317
0.550,0.510600
0.555,0.535708
0.560,0.562569
0.565,0.591035
0.570,0.620874
0.575,0.651775
0.580,0.683353
0.585,0.715166
0.590,0.746735
0.595,0.777566
0.600,0.807182
0.605,0.835142
0.610,0.861072
0.615,0.884681
0.620,0.905774
0.625,0.924259
0.630,0.940140
0.635,0.953511
0.640,0.964540
0.645,0.973448
0.650,0.980491
0.655,0.985941
0.660,0.990067
0.665,0.993123
0.670,0.995335
0.675,0.996901
0.680,0.997984
0.685,0.998717
0.690,0.999201
0.695,0.999513
0.700,0.999710
0.705,0.999831
0.710,0.999904
0.715,0.999946
0.720,0.999971
0.725,0.999984
0.730,0.999992
0.735,0.999996
0.740,0.999998
0.745,0.999999
0.750,1.000000
