Vf,G2020
0.250,0.028574
0.255,0.038269
0.260,0.049248
0.265,0.061053
0.270,0.073126
0.275,0.084915
0.280,0.095969
0.285,0.106021
0.290,0.115021
0.295,0.123120
0.300,0.130614
0.305,0.137867
0.310,0.145226
0.315,0.152959
0.320,0.161211
0.325,0.169990
0.330,0.179179
0.335,0.188563
0.340,0.197868
0.345,0.206809
0.350,0.215123
0.355,0.222607
0.360,0.229134
0.365,0.234661
0.370,0.239224
0.375,0.242924
0.380,0.245911
0.385,0.248357
0.390,0.250449
0.395,0.252364
0.400,0.254268
0.405,0.256307
0.410,0.258605
0.415,0.261265
0.420,0.264034
0.425,0.267126
0.430,0.270647
0.435,0.274610
0.440,0.279018
0.445,0.283866
0.450,0.289140
0.455,0.294820
0.460,0.300880
0.465,0.307294
0.470,0.314039
0.475,0.321096
0.480,0.328459
0.485,0.336133
0.490,0.344144
0.495,0.352535
0.500,0.361374
0.505,0.370749
0.510,0.380774
0.515,0.391582
0.520,0.403327
0.525,0.416176
0.530,0.430305
0.535,0.445888
0.540,0.463090
0.545,0.482054
0.550,0.502883
0.555,0.525634
0.560,0.550295
0.565,0.576781
0.570,0.604922
0.575,0.634462
0.580,0.665060
0.585,0.696305
0.590,0.727729
0.595,0.758830
0.600,0.789101
0.605,0.818057
0.610,0.845262
0.615,0.870353
0.620,0.893058
0.625,0.913208
0.630,0.930738
0.635,0.945683
0.640,0.958161
0.645,0.968363
0.650,0.976527
0.655,0.982919
0.660,0.987815
0.665,0.991483
0.670,0.994168
0.675,0.996089
0.680,0.997433
0.685,0.998351
0.690,0.998964
0.695,0.999363
0.700,0.999617
0.705,0.999775
0.710,0.999871
0.715,0.999928
0.720,0.999960
0.725,0.999979
0.730,0.999989
0.735,0.999994
0.740,0.999997
0.745,0.999999
0.750,0.999999
