METRIC,AG2020
Vf,0.389379
Sf,0.250500
EG,0.028258
PR,0.138879
GAMMA,0.232007
BS_50,0.152505
BV_50,0.047724
BS_V,-0.057237
GS,0.082571
MM,0.080975
LO,-0.021959
DECL,26.930624
R,2.255446
r,0.158135
Sb,0.250500
Ra,0.625250
Rb,0.125250
Va,0.704771
Vb,0.317188
L_Vf,0.365000
L_Sf,0.243425
U_Vf,0.410000
U_Sf,0.253806
