METRIC,P2020
Vf,0.421642
Sf,0.270255
EG,0.073029
PR,0.151387
GAMMA,0.168837
BS_50,0.133459
BV_50,0.051116
BS_V,0.045980
GS,0.073493
MM,0.082618
LO,0.020192
DECL,29.692808
R,2.931990
r,0.777297
Sb,0.270255
Ra,0.635128
Rb,0.135128
Va,0.676089
Vb,0.303719
L_Vf,0.400000
L_Sf,0.256491
U_Vf,0.445000
U_Sf,0.291613
