METRIC,G2020
Vf,0.416084
Sf,0.261898
EG,0.070270
PR,0.154186
GAMMA,0.191639
BS_50,0.138626
BV_50,0.049308
BS_V,0.024302
GS,0.074729
MM,0.080141
LO,0.013283
DECL,29.847388
R,2.837387
r,0.553682
Sb,0.261898
Ra,0.630949
Rb,0.130949
Va,0.677359
Vb,0.309358
L_Vf,0.395000
L_Sf,0.252364
U_Vf,0.440000
U_Sf,0.279018
