CD,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
9,0.361915,0.369347,0.344982,0.389357,0.388509,0.306406,0.360201,0.359800,0.012727,0.035372,0.002115,0.005878,0.166182
5,0.403439,0.416878,0.384283,0.427176,0.431345,0.346748,0.392836,0.399878,0.013089,0.032732,0.003561,0.008905,0.272061
8,0.415885,0.431351,0.398692,0.444948,0.448998,0.346681,0.405927,0.412766,0.015605,0.037806,0.003119,0.007556,0.199872
2,0.454343,0.459982,0.445029,0.473728,0.482316,0.400591,0.453383,0.452505,0.011757,0.025982,0.001838,0.004062,0.156332
6,0.480715,0.500356,0.471614,0.504870,0.487194,0.418499,0.488058,0.478432,0.012894,0.026951,0.002283,0.004772,0.177059
1,0.482592,0.507473,0.477208,0.507418,0.508660,0.413836,0.463594,0.479698,0.015256,0.031803,0.002894,0.006033,0.189696
4,0.530578,0.552457,0.513538,0.559995,0.557893,0.466222,0.511570,0.526946,0.015060,0.028580,0.003632,0.006893,0.241169
7,0.669551,0.666292,0.680095,0.681663,0.681021,0.617723,0.682320,0.668186,0.010389,0.015548,0.001365,0.002043,0.131389
3,0.758742,0.757270,0.768886,0.767022,0.789952,0.706448,0.754066,0.757274,0.011389,0.015039,0.001468,0.001939,0.128896
