XX,YEAR,ELECTION,CD,Vf,S_V,FPTP,PR,BS_50,BV_50,DECL,GS,EG,BS_V,PROP,MM,TO,MM',LO,BIG_R,LIL_R,R_V,L_Vf,L_Sf,U_Vf,U_Sf
AZ,2022,composite,9,0.488733,3.577008,3,4,0.059262,0.013759,18.390779,0.035514,0.080021,0.056802,0.091288,0.008018,-0.017685,0.025703,0.051775,9.102214,3.540695,2.986316,0.465000,0.321794,0.510000,0.483149
AZ,2022,P2020,9,0.501568,4.203782,5,5,0.038662,0.010028,11.978379,0.027033,0.036049,0.038563,0.034481,0.001212,-0.016366,0.017578,0.047303,-20.990485,3.776430,3.096116,0.480000,0.389941,0.525000,0.562410
AZ,2022,P2016,9,0.481100,3.248151,3,4,0.068737,0.016076,22.931519,0.040384,0.101294,0.063185,0.120194,0.009486,-0.017159,0.026645,0.056082,7.359489,3.404484,2.811686,0.460000,0.299050,0.505000,0.451937
AZ,2022,S2020,9,0.511748,4.432377,5,5,0.053269,0.013440,12.743468,0.029825,0.031010,0.051893,0.019262,0.006878,-0.016716,0.023594,0.059408,-0.639570,4.189877,3.432513,0.490000,0.409513,0.535000,0.599245
AZ,2022,S2018,9,0.512015,4.362281,4,5,0.063314,0.015362,14.666483,0.033471,0.039332,0.061199,0.027317,0.024821,-0.018639,0.043460,0.066440,-1.273584,4.369187,3.603685,0.490000,0.399408,0.535000,0.596991
AZ,2022,G2018,9,0.427636,2.240600,2,4,0.059847,0.012655,31.050551,0.046689,0.106316,-0.032463,0.178680,0.013800,-0.019381,0.033181,0.023006,3.469190,1.097332,0.813779,0.405000,0.229411,0.450000,0.281195
AZ,2022,AG2018,9,0.482630,3.313008,3,4,0.064318,0.014479,21.939808,0.039629,0.097148,0.059115,0.114518,0.019036,-0.018698,0.037734,0.055693,7.592860,3.520862,2.967921,0.460000,0.299014,0.505000,0.457198
