METRIC,composite
Vf,0.488733
Sf,0.397445
EG,0.080021
PR,0.091288
GAMMA,0.062662
BS_50,0.059262
BV_50,0.013759
BS_V,0.056802
GS,0.035514
MM,0.008018
LO,0.051775
DECL,18.390779
R,9.102214
r,3.540695
Sb,0.397445
Ra,0.698723
Rb,0.198723
Va,0.569036
Vb,0.379189
L_Vf,0.465000
L_Sf,0.321794
U_Vf,0.510000
U_Sf,0.483149
