METRIC,S2018
Vf,0.512015
Sf,0.484698
EG,0.039332
PR,0.027317
GAMMA,0.067798
BS_50,0.063314
BV_50,0.015362
BS_V,0.061199
GS,0.033471
MM,0.024821
LO,0.066440
DECL,14.666483
R,-1.273584
r,4.369187
Sb,0.484698
Ra,0.742349
Rb,0.242349
Va,0.550616
Vb,0.382944
L_Vf,0.490000
L_Sf,0.399408
U_Vf,0.535000
U_Sf,0.596991
