METRIC,P2020
Vf,0.501568
Sf,0.467087
EG,0.036049
PR,0.034481
GAMMA,0.038835
BS_50,0.038662
BV_50,0.010028
BS_V,0.038563
GS,0.027033
MM,0.001212
LO,0.047303
DECL,11.978379
R,-20.990485
r,3.776430
Sb,0.467087
Ra,0.733543
Rb,0.233543
Va,0.563209
Vb,0.389487
L_Vf,0.480000
L_Sf,0.389941
U_Vf,0.525000
U_Sf,0.562410
