METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2018,METRIC,G2018,METRIC,AG2018
Vf,0.488733,Vf,0.501568,Vf,0.481100,Vf,0.511748,Vf,0.512015,Vf,0.427636,Vf,0.482630
Sf,0.397445,Sf,0.467087,Sf,0.360906,Sf,0.492486,Sf,0.484698,Sf,0.248956,Sf,0.368112
EG,0.080021,EG,0.036049,EG,0.101294,EG,0.031010,EG,0.039332,EG,0.106316,EG,0.097148
PR,0.091288,PR,0.034481,PR,0.120194,PR,0.019262,PR,0.027317,PR,0.178680,PR,0.114518
GAMMA,0.062662,GAMMA,0.038835,GAMMA,0.074750,GAMMA,0.056736,GAMMA,0.067798,GAMMA,0.171637,GAMMA,0.070731
BS_50,0.059262,BS_50,0.038662,BS_50,0.068737,BS_50,0.053269,BS_50,0.063314,BS_50,0.059847,BS_50,0.064318
BV_50,0.013759,BV_50,0.010028,BV_50,0.016076,BV_50,0.013440,BV_50,0.015362,BV_50,0.012655,BV_50,0.014479
BS_V,0.056802,BS_V,0.038563,BS_V,0.063185,BS_V,0.051893,BS_V,0.061199,BS_V,-0.032463,BS_V,0.059115
GS,0.035514,GS,0.027033,GS,0.040384,GS,0.029825,GS,0.033471,GS,0.046689,GS,0.039629
MM,0.008018,MM,0.001212,MM,0.009486,MM,0.006878,MM,0.024821,MM,0.013800,MM,0.019036
LO,0.051775,LO,0.047303,LO,0.056082,LO,0.059408,LO,0.066440,LO,0.023006,LO,0.055693
DECL,18.390779,DECL,11.978379,DECL,22.931519,DECL,12.743468,DECL,14.666483,DECL,31.050551,DECL,21.939808
R,9.102214,R,-20.990485,R,7.359489,R,-0.639570,R,-1.273584,R,3.469190,R,7.592860
r,3.540695,r,3.776430,r,3.404484,r,4.189877,r,4.369187,r,1.097332,r,3.520862
Sb,0.397445,Sb,0.467087,Sb,0.360906,Sb,0.492486,Sb,0.484698,Sb,0.248956,Sb,0.368112
Ra,0.698723,Ra,0.733543,Ra,0.680453,Ra,0.746243,Ra,0.742349,Ra,0.624478,Ra,0.684056
Rb,0.198723,Rb,0.233543,Rb,0.180453,Rb,0.246243,Rb,0.242349,Rb,0.124478,Rb,0.184056
Va,0.569036,Va,0.563209,Va,0.579017,Va,0.552816,Va,0.550616,Va,0.616932,Va,0.572687
Vb,0.379189,Vb,0.389487,Vb,0.364901,Vb,0.387776,Vb,0.382944,Vb,0.360061,Vb,0.371620
L_Vf,0.465000,L_Vf,0.480000,L_Vf,0.460000,L_Vf,0.490000,L_Vf,0.490000,L_Vf,0.405000,L_Vf,0.460000
L_Sf,0.321794,L_Sf,0.389941,L_Sf,0.299050,L_Sf,0.409513,L_Sf,0.399408,L_Sf,0.229411,L_Sf,0.299014
U_Vf,0.510000,U_Vf,0.525000,U_Vf,0.505000,U_Vf,0.535000,U_Vf,0.535000,U_Vf,0.450000,U_Vf,0.505000
U_Sf,0.483149,U_Sf,0.562410,U_Sf,0.451937,U_Sf,0.599245,U_Sf,0.596991,U_Sf,0.281195,U_Sf,0.457198
