METRIC,S2020
Vf,0.511748
Sf,0.492486
EG,0.031010
PR,0.019262
GAMMA,0.056736
BS_50,0.053269
BV_50,0.013440
BS_V,0.051893
GS,0.029825
MM,0.006878
LO,0.059408
DECL,12.743468
R,-0.639570
r,4.189877
Sb,0.492486
Ra,0.746243
Rb,0.246243
Va,0.552816
Vb,0.387776
L_Vf,0.490000
L_Sf,0.409513
U_Vf,0.535000
U_Sf,0.599245
