METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018
Vf,0.488733,0.501568,0.481100,0.511748,0.512015,0.427636,0.482630
Sf,0.397445,0.467087,0.360906,0.492486,0.484698,0.248956,0.368112
EG,0.080021,0.036049,0.101294,0.031010,0.039332,0.106316,0.097148
PR,0.091288,0.034481,0.120194,0.019262,0.027317,0.178680,0.114518
GAMMA,0.062662,0.038835,0.074750,0.056736,0.067798,0.171637,0.070731
BS_50,0.059262,0.038662,0.068737,0.053269,0.063314,0.059847,0.064318
BV_50,0.013759,0.010028,0.016076,0.013440,0.015362,0.012655,0.014479
BS_V,0.056802,0.038563,0.063185,0.051893,0.061199,-0.032463,0.059115
GS,0.035514,0.027033,0.040384,0.029825,0.033471,0.046689,0.039629
MM,0.008018,0.001212,0.009486,0.006878,0.024821,0.013800,0.019036
LO,0.051775,0.047303,0.056082,0.059408,0.066440,0.023006,0.055693
DECL,18.390779,11.978379,22.931519,12.743468,14.666483,31.050551,21.939808
R,9.102214,-20.990485,7.359489,-0.639570,-1.273584,3.469190,7.592860
r,3.540695,3.776430,3.404484,4.189877,4.369187,1.097332,3.520862
Sb,0.397445,0.467087,0.360906,0.492486,0.484698,0.248956,0.368112
Ra,0.698723,0.733543,0.680453,0.746243,0.742349,0.624478,0.684056
Rb,0.198723,0.233543,0.180453,0.246243,0.242349,0.124478,0.184056
Va,0.569036,0.563209,0.579017,0.552816,0.550616,0.616932,0.572687
Vb,0.379189,0.389487,0.364901,0.387776,0.382944,0.360061,0.371620
L_Vf,0.465000,0.480000,0.460000,0.490000,0.490000,0.405000,0.460000
L_Sf,0.321794,0.389941,0.299050,0.409513,0.399408,0.229411,0.299014
U_Vf,0.510000,0.525000,0.505000,0.535000,0.535000,0.450000,0.505000
U_Sf,0.483149,0.562410,0.451937,0.599245,0.596991,0.281195,0.457198
