AZ2022_Vf,AZ2022_Sf
0.250, 0.000682
0.255, 0.001183
0.260, 0.001980
0.265, 0.003200
0.270, 0.004997
0.275, 0.007546
0.280, 0.011026
0.285, 0.015607
0.290, 0.021418
0.295, 0.028535
0.300, 0.036958
0.305, 0.046604
0.310, 0.057316
0.315, 0.068875
0.320, 0.081025
0.325, 0.093504
0.330, 0.106065
0.335, 0.118490
0.340, 0.130602
0.345, 0.142254
0.350, 0.153332
0.355, 0.163738
0.360, 0.173389
0.365, 0.182217
0.370, 0.190177
0.375, 0.197248
0.380, 0.203449
0.385, 0.208837
0.390, 0.213512
0.395, 0.217615
0.400, 0.221313
0.405, 0.224796
0.410, 0.228265
0.415, 0.231918
0.420, 0.235949
0.425, 0.240538
0.430, 0.245848
0.435, 0.252018
0.440, 0.259169
0.445, 0.267393
0.450, 0.276759
0.455, 0.287307
0.460, 0.299050
0.465, 0.311971
0.470, 0.326028
0.475, 0.341151
0.480, 0.357246
0.485, 0.374268
0.490, 0.392330
0.495, 0.411360
0.500, 0.431263
0.505, 0.451937
0.510, 0.473277
0.515, 0.495183
0.520, 0.517563
0.525, 0.540336
0.530, 0.563434
0.535, 0.586802
0.540, 0.610394
0.545, 0.634170
0.550, 0.658089
0.555, 0.682098
0.560, 0.706132
0.565, 0.730103
0.570, 0.753895
0.575, 0.777369
0.580, 0.800359
0.585, 0.822679
0.590, 0.844130
0.595, 0.864513
0.600, 0.883638
0.605, 0.901336
0.610, 0.917473
0.615, 0.931955
0.620, 0.944736
0.625, 0.955819
0.630, 0.965256
0.635, 0.973140
0.640, 0.979598
0.645, 0.984784
0.650, 0.988862
0.655, 0.992002
0.660, 0.994369
0.665, 0.996114
0.670, 0.997372
0.675, 0.998260
0.680, 0.998872
0.685, 0.999284
0.690, 0.999555
0.695, 0.999730
0.700, 0.999839
0.705, 0.999907
0.710, 0.999947
0.715, 0.999971
0.720, 0.999984
0.725, 0.999992
0.730, 0.999996
0.735, 0.999998
0.740, 0.999999
0.745, 0.999999
0.750, 1.000000
