METRIC,G2018
Vf,0.427636
Sf,0.248956
EG,0.106316
PR,0.178680
GAMMA,0.171637
BS_50,0.059847
BV_50,0.012655
BS_V,-0.032463
GS,0.046689
MM,0.013800
LO,0.023006
DECL,31.050551
R,3.469190
r,1.097332
Sb,0.248956
Ra,0.624478
Rb,0.124478
Va,0.616932
Vb,0.360061
L_Vf,0.405000
L_Sf,0.229411
U_Vf,0.450000
U_Sf,0.281195
