CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2018,CD,G2018,CD,AG2018
1,0.482592,1,0.507473,1,0.477208,1,0.507418,1,0.508660,1,0.413836,1,0.463594
2,0.454343,2,0.459982,2,0.445029,2,0.473728,2,0.482316,2,0.400591,2,0.453383
3,0.758742,3,0.757270,3,0.768886,3,0.767022,3,0.789952,3,0.706448,3,0.754066
4,0.530578,4,0.552457,4,0.513538,4,0.559995,4,0.557893,4,0.466222,4,0.511570
5,0.403439,5,0.416878,5,0.384283,5,0.427176,5,0.431345,5,0.346748,5,0.392836
6,0.480715,6,0.500356,6,0.471614,6,0.504870,6,0.487194,6,0.418499,6,0.488058
7,0.669551,7,0.666292,7,0.680095,7,0.681663,7,0.681021,7,0.617723,7,0.682320
8,0.415885,8,0.431351,8,0.398692,8,0.444948,8,0.448998,8,0.346681,8,0.405927
9,0.361915,9,0.369347,9,0.344982,9,0.389357,9,0.388509,9,0.306406,9,0.360201
