CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2016,CD,G2018,CD,AG2018
1,0.431947,1,0.456084,1,0.421703,1,0.456555,1,0.332692,1,0.467628,1,0.446325
2,0.426469,2,0.446210,2,0.409743,2,0.450428,2,0.358553,2,0.461225,2,0.429579
3,0.306830,3,0.309982,3,0.303198,3,0.319287,3,0.274611,3,0.334828,3,0.307046
4,0.386771,4,0.405545,4,0.373855,4,0.411887,4,0.318027,4,0.420227,4,0.387220
5,0.405259,5,0.407908,5,0.394403,5,0.420522,5,0.381409,5,0.422927,5,0.404937
6,0.659323,6,0.662904,6,0.664287,6,0.669424,6,0.603759,6,0.683085,6,0.673017
7,0.405958,7,0.405780,7,0.402507,7,0.415623,7,0.374129,7,0.427032,7,0.414597
