METRIC,G2018
Vf,0.459789
S_V,1.459486
Sf,0.208498
FPTP,1.000000
PR,3.000000
BS_50,0.115971
BV_50,0.017870
DECL,35.542309
GS,0.037659
EG,0.211080
BS_V,0.070612
PROP,0.251291
MM,0.032757
TO,0.000224
MM',0.032533
LO,0.031409
R,7.249310
r,2.414317
Rd,1.542807
L_Vf,0.435000
L_Sf,0.164337
U_Vf,0.480000
U_Sf,0.279082
