METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.431634,Vf,0.440734,Vf,0.425397,Vf,0.447921,Vf,0.378770,Vf,0.459789,Vf,0.437538
Sf,0.156862,Sf,0.179210,Sf,0.149929,Sf,0.185863,Sf,0.142545,Sf,0.208498,Sf,0.165213
S_V,1.098031,S_V,1.254467,S_V,1.049502,S_V,1.301042,S_V,0.997817,S_V,1.459486,S_V,1.156490
FPTP,1.000000,FPTP,1.000000,FPTP,1.000000,FPTP,1.000000,FPTP,1.000000,FPTP,1.000000,FPTP,1.000000
PR,3.000000,PR,3.000000,PR,3.000000,PR,3.000000,PR,3.000000,PR,3.000000,PR,3.000000
EG,0.206406,EG,0.202258,EG,0.200865,EG,0.209979,EG,0.114995,EG,0.211080,EG,0.209863
PROP,0.274772,PROP,0.261524,PROP,0.275468,PROP,0.262058,PROP,0.236225,PROP,0.251291,PROP,0.272325
BS_50,0.115781,BS_50,0.092948,BS_50,0.138707,BS_50,0.098711,BS_50,0.124024,BS_50,0.115971,BS_50,0.117105
BV_50,0.016982,BV_50,0.014463,BV_50,0.020295,BV_50,0.014888,BV_50,0.018477,BV_50,0.017870,BV_50,0.017821
BS_V,0.011755,BS_V,0.023785,BS_V,0.003774,BS_V,0.037978,BS_V,-0.063484,BS_V,0.070612,BS_V,0.027840
GS,0.040470,GS,0.034403,GS,0.046956,GS,0.034831,GS,0.047232,GS,0.037659,GS,0.041162
DECL,46.250948,DECL,39.798617,DECL,48.545639,DECL,39.381089,DECL,0.000000,DECL,35.542309,DECL,45.790868
MM,0.025676,MM,0.032826,MM,0.022890,MM,0.027399,MM,0.020217,MM,0.032757,MM,0.022941
TO,-0.000160,TO,-0.001325,TO,0.001155,TO,-0.001183,TO,0.001173,TO,0.000224,TO,0.000006
MM',0.025836,MM',0.034151,MM',0.021735,MM',0.028582,MM',0.019044,MM',0.032533,MM',0.022935
LO,0.031689,LO,0.022502,LO,0.036421,LO,0.028536,LO,0.000000,LO,0.031409,LO,0.038174
R,5.019140,R,5.412724,R,4.692454,R,6.031929,R,2.948567,R,7.249310,R,5.359852
r,0.841303,r,1.732463,r,0.515670,r,1.901662,r,0.107553,r,2.414317,r,1.139076
Rd,0.379444,Rd,0.910869,Rd,0.194769,Rd,1.076787,Rd,0.029114,Rd,1.542807,Rd,0.586217
Sb,0.156862,Sb,0.179210,Sb,0.149929,Sb,0.185863,Sb,0.142545,Sb,0.208498,Sb,0.165213
Ra,0.578431,Ra,0.589605,Ra,0.574964,Ra,0.592932,Ra,0.571273,Ra,0.604249,Ra,0.582606
Rb,0.078431,Rb,0.089605,Rb,0.074964,Rb,0.092932,Rb,0.071273,Rb,0.104249,Rb,0.082606
Va,0.606629,Va,0.596595,Va,0.616003,Va,0.589452,Va,0.659904,Va,0.580590,Va,0.602715
Vb,0.361683,Vb,0.380903,Vb,0.347577,Vb,0.382013,Vb,0.396823,Vb,0.388001,Vb,0.359111
AVG_DVf,0.659323,AVG_DVf,0.662904,AVG_DVf,0.664287,AVG_DVf,0.669424,AVG_DVf,0.603759,AVG_DVf,0.683085,AVG_DVf,0.673017
AVG_RVf,0.393872,AVG_RVf,0.405252,AVG_RVf,0.384235,AVG_RVf,0.412384,AVG_RVf,0.339903,AVG_RVf,0.422311,AVG_RVf,0.398284
L_Vf,0.410000,L_Vf,0.420000,L_Vf,0.405000,L_Vf,0.425000,L_Vf,0.355000,L_Vf,0.435000,L_Vf,0.415000
L_Sf,0.146441,L_Sf,0.155522,L_Sf,0.144609,L_Sf,0.156412,L_Sf,0.135785,L_Sf,0.164337,L_Sf,0.149121
U_Vf,0.455000,U_Vf,0.465000,U_Vf,0.450000,U_Vf,0.470000,U_Vf,0.400000,U_Vf,0.480000,U_Vf,0.460000
U_Sf,0.190282,U_Sf,0.238463,U_Sf,0.172620,U_Sf,0.247895,U_Sf,0.144547,U_Sf,0.279082,U_Sf,0.206190
