METRIC,AG2018
Vf,0.437538
Sf,0.165213
S_V,1.156490
FPTP,1.000000
PR,3.000000
EG,0.209863
PROP,0.272325
BS_50,0.117105
BV_50,0.017821
BS_V,0.027840
GS,0.041162
DECL,45.790868
MM,0.022941
TO,0.000006
MM',0.022935
LO,0.038174
R,5.359852
r,1.139076
Rd,0.586217
Sb,0.165213
Ra,0.582606
Rb,0.082606
Va,0.602715
Vb,0.359111
AVG_DVf,0.673017
AVG_RVf,0.398284
L_Vf,0.415000
L_Sf,0.149121
U_Vf,0.460000
U_Sf,0.206190
