Vf,composite
0.250,0.000225
0.255,0.000410
0.260,0.000724
0.265,0.001236
0.270,0.002041
0.275,0.003262
0.280,0.005049
0.285,0.007570
0.290,0.010999
0.295,0.015497
0.300,0.021187
0.305,0.028128
0.310,0.036291
0.315,0.045551
0.320,0.055680
0.325,0.066363
0.330,0.077230
0.335,0.087888
0.340,0.097970
0.345,0.107168
0.350,0.115262
0.355,0.122133
0.360,0.127764
0.365,0.132224
0.370,0.135646
0.375,0.138201
0.380,0.140078
0.385,0.141463
0.390,0.142528
0.395,0.143428
0.400,0.144300
0.405,0.145265
0.410,0.146441
0.415,0.147941
0.420,0.149884
0.425,0.152400
0.430,0.155627
0.435,0.159834
0.440,0.165215
0.445,0.171938
0.450,0.180221
0.455,0.190282
0.460,0.202336
0.465,0.216575
0.470,0.233162
0.475,0.252217
0.480,0.273800
0.485,0.297910
0.490,0.324467
0.495,0.353315
0.500,0.384219
0.505,0.416874
0.510,0.450911
0.515,0.485916
0.520,0.521450
0.525,0.557066
0.530,0.592332
0.535,0.626856
0.540,0.660292
0.545,0.692363
0.550,0.722858
0.555,0.751636
0.560,0.778617
0.565,0.803773
0.570,0.827116
0.575,0.848681
0.580,0.868515
0.585,0.886671
0.590,0.903196
0.595,0.918134
0.600,0.931525
0.605,0.943409
0.610,0.953836
0.615,0.962865
0.620,0.970568
0.625,0.977037
0.630,0.982376
0.635,0.986704
0.640,0.990145
0.645,0.992828
0.650,0.994878
0.655,0.996412
0.660,0.997535
0.665,0.998340
0.670,0.998904
0.675,0.999292
0.680,0.999551
0.685,0.999722
0.690,0.999831
0.695,0.999900
0.700,0.999942
0.705,0.999967
0.710,0.999981
0.715,0.999990
0.720,0.999995
0.725,0.999997
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
