METRIC,S2016
Vf,0.378770
Sf,0.142545
EG,0.114995
PR,0.236225
GAMMA,0.344416
BS_50,0.124024
BV_50,0.018477
BS_V,-0.063484
GS,0.047232
MM,0.020217
LO,0.000000
DECL,0.000000
R,2.948567
r,0.107553
Sb,0.142545
Ra,0.571273
Rb,0.071273
Va,0.659904
Vb,0.396823
L_Vf,0.355000
L_Sf,0.135785
U_Vf,0.400000
U_Sf,0.144547
