Vf,G2018
0.250,0.000093
0.255,0.000175
0.260,0.000319
0.265,0.000562
0.270,0.000960
0.275,0.001589
0.280,0.002549
0.285,0.003966
0.290,0.005986
0.295,0.008768
0.300,0.012470
0.305,0.017231
0.310,0.023145
0.315,0.030245
0.320,0.038479
0.325,0.047706
0.330,0.057697
0.335,0.068151
0.340,0.078718
0.345,0.089043
0.350,0.098790
0.355,0.107687
0.360,0.115541
0.365,0.122251
0.370,0.127809
0.375,0.132287
0.380,0.135818
0.385,0.138574
0.390,0.140749
0.395,0.142541
0.400,0.144143
0.405,0.145736
0.410,0.147492
0.415,0.149575
0.420,0.152143
0.425,0.155353
0.430,0.159364
0.435,0.164337
0.440,0.170431
0.445,0.177806
0.450,0.186611
0.455,0.196984
0.460,0.209056
0.465,0.223321
0.470,0.239692
0.475,0.258262
0.480,0.279082
0.485,0.302155
0.490,0.327424
0.495,0.354775
0.500,0.384029
0.505,0.414943
0.510,0.447220
0.515,0.480518
0.520,0.514459
0.525,0.548649
0.530,0.582695
0.535,0.616224
0.540,0.648898
0.545,0.680432
0.550,0.710598
0.555,0.739230
0.560,0.766226
0.565,0.791536
0.570,0.815152
0.575,0.837096
0.580,0.857407
0.585,0.876128
0.590,0.893303
0.595,0.908965
0.600,0.923142
0.605,0.935861
0.610,0.947149
0.615,0.957043
0.620,0.965592
0.625,0.972865
0.630,0.978948
0.635,0.983945
0.640,0.987972
0.645,0.991153
0.650,0.993614
0.655,0.995480
0.660,0.996863
0.665,0.997866
0.670,0.998578
0.675,0.999072
0.680,0.999407
0.685,0.999629
0.690,0.999773
0.695,0.999864
0.700,0.999920
0.705,0.999954
0.710,0.999974
0.715,0.999986
0.720,0.999992
0.725,0.999996
0.730,0.999998
0.735,0.999999
0.740,0.999999
0.745,1.000000
0.750,1.000000
