Vf,composite,Vf,P2020,Vf,P2016,Vf,S2020,Vf,S2016,Vf,G2018,Vf,AG2018
0.250,0.000225,0.250,0.000139,0.250,0.000439,0.250,0.000113,0.250,0.000797,0.250,0.000093,0.250,0.000278
0.255,0.000410,0.255,0.000257,0.255,0.000781,0.255,0.000211,0.255,0.001384,0.255,0.000175,0.255,0.000504
0.260,0.000724,0.260,0.000462,0.260,0.001342,0.260,0.000382,0.260,0.002317,0.260,0.000319,0.260,0.000883
0.265,0.001236,0.265,0.000802,0.265,0.002228,0.265,0.000668,0.265,0.003744,0.265,0.000562,0.265,0.001494
0.270,0.002041,0.270,0.001350,0.270,0.003576,0.270,0.001133,0.270,0.005841,0.270,0.000960,0.270,0.002446
0.275,0.003262,0.275,0.002202,0.275,0.005550,0.275,0.001862,0.275,0.008804,0.275,0.001589,0.275,0.003874
0.280,0.005049,0.280,0.003477,0.280,0.008332,0.280,0.002965,0.280,0.012828,0.280,0.002549,0.280,0.005940
0.285,0.007570,0.285,0.005324,0.285,0.012107,0.285,0.004577,0.285,0.018081,0.285,0.003966,0.285,0.008819
0.290,0.010999,0.290,0.007903,0.290,0.017039,0.290,0.006854,0.290,0.024673,0.290,0.005986,0.290,0.012687
0.295,0.015497,0.295,0.011381,0.295,0.023243,0.295,0.009958,0.295,0.032623,0.295,0.008768,0.295,0.017696
0.300,0.021187,0.300,0.015909,0.300,0.030755,0.300,0.014047,0.300,0.041839,0.300,0.012470,0.300,0.023947
0.305,0.028128,0.305,0.021600,0.305,0.039511,0.305,0.019247,0.305,0.052109,0.305,0.017231,0.305,0.031467
0.310,0.036291,0.310,0.028505,0.310,0.049340,0.310,0.025634,0.310,0.063109,0.310,0.023145,0.310,0.040184
0.315,0.045551,0.315,0.036593,0.315,0.059959,0.315,0.033212,0.315,0.074434,0.315,0.030245,0.315,0.049925
0.320,0.055680,0.320,0.045739,0.320,0.071005,0.320,0.041896,0.320,0.085640,0.320,0.038479,0.320,0.060416
0.325,0.066363,0.325,0.055722,0.325,0.082067,0.325,0.051505,0.325,0.096301,0.325,0.047706,0.325,0.071306
0.330,0.077230,0.330,0.066243,0.330,0.092733,0.330,0.061777,0.330,0.106048,0.330,0.057697,0.330,0.082201
0.335,0.087888,0.335,0.076948,0.335,0.102634,0.335,0.072381,0.335,0.114615,0.335,0.068151,0.335,0.092707
0.340,0.097970,0.340,0.087464,0.340,0.111482,0.340,0.082955,0.340,0.121853,0.340,0.078718,0.340,0.102473
0.345,0.107168,0.345,0.097440,0.345,0.119097,0.345,0.093140,0.345,0.127734,0.345,0.089043,0.345,0.111225
0.350,0.115262,0.350,0.106580,0.350,0.125406,0.350,0.102618,0.350,0.132329,0.350,0.098790,0.350,0.118786
0.355,0.122133,0.355,0.114672,0.355,0.130442,0.355,0.111142,0.355,0.135785,0.355,0.107687,0.355,0.125088
0.360,0.127764,0.360,0.121600,0.360,0.134316,0.360,0.118554,0.360,0.138291,0.360,0.115541,0.360,0.130159
0.365,0.132224,0.365,0.127345,0.365,0.137192,0.365,0.124792,0.365,0.140051,0.365,0.122251,0.365,0.134104
0.370,0.135646,0.370,0.131975,0.370,0.139260,0.370,0.129884,0.370,0.141258,0.370,0.127809,0.370,0.137083
0.375,0.138201,0.375,0.135621,0.375,0.140709,0.375,0.133932,0.375,0.142085,0.375,0.132287,0.375,0.139283
0.380,0.140078,0.380,0.138463,0.380,0.141715,0.380,0.137091,0.380,0.142623,0.380,0.135818,0.380,0.140899
0.385,0.141463,0.385,0.140698,0.385,0.142430,0.385,0.139545,0.385,0.142963,0.385,0.138574,0.385,0.142112
0.390,0.142528,0.390,0.142533,0.390,0.142980,0.390,0.141493,0.390,0.143370,0.390,0.140749,0.390,0.143091
0.395,0.143428,0.395,0.144166,0.395,0.143470,0.395,0.143134,0.395,0.143881,0.395,0.142541,0.395,0.143982
0.400,0.144300,0.400,0.145787,0.400,0.143987,0.400,0.144655,0.400,0.144547,0.400,0.144143,0.400,0.144914
0.405,0.145265,0.405,0.147570,0.405,0.144609,0.405,0.146235,0.405,0.145428,0.405,0.145736,0.405,0.146006
0.410,0.146441,0.410,0.149681,0.410,0.145413,0.410,0.148040,0.410,0.146598,0.410,0.147492,0.410,0.147370
0.415,0.147941,0.415,0.152279,0.415,0.146478,0.415,0.150232,0.415,0.148149,0.415,0.149575,0.415,0.149121
0.420,0.149884,0.420,0.155522,0.420,0.147893,0.420,0.152969,0.420,0.150187,0.420,0.152143,0.420,0.151377
0.425,0.152400,0.425,0.159563,0.425,0.149758,0.425,0.156412,0.425,0.152837,0.425,0.155353,0.425,0.154265
0.430,0.155627,0.430,0.164558,0.430,0.152337,0.430,0.160724,0.430,0.156245,0.430,0.159364,0.430,0.157922
0.435,0.159834,0.435,0.170659,0.435,0.155724,0.435,0.166071,0.435,0.160570,0.435,0.164337,0.435,0.162494
0.440,0.165215,0.440,0.178016,0.440,0.160096,0.440,0.172622,0.440,0.165988,0.440,0.170431,0.440,0.168189
0.445,0.171938,0.445,0.186678,0.445,0.165654,0.445,0.180541,0.445,0.172687,0.445,0.177806,0.445,0.175239
0.450,0.180221,0.450,0.196897,0.450,0.172620,0.450,0.190049,0.450,0.180861,0.450,0.186611,0.450,0.183795
0.455,0.190282,0.455,0.208845,0.455,0.181223,0.455,0.201413,0.455,0.190702,0.455,0.196984,0.455,0.194050
0.460,0.202336,0.460,0.222660,0.460,0.191693,0.460,0.214747,0.460,0.202398,0.460,0.209056,0.460,0.206190
0.465,0.216575,0.465,0.238463,0.465,0.204254,0.465,0.230202,0.465,0.216118,0.465,0.223321,0.465,0.220380
0.470,0.233162,0.470,0.256345,0.470,0.219102,0.470,0.247895,0.470,0.232008,0.470,0.239692,0.470,0.236759
0.475,0.252217,0.475,0.276362,0.475,0.236401,0.475,0.267902,0.475,0.250181,0.475,0.258262,0.475,0.255430
0.480,0.273800,0.480,0.298525,0.480,0.256265,0.480,0.290247,0.480,0.270707,0.480,0.279082,0.480,0.276444
0.485,0.297910,0.485,0.322797,0.485,0.278747,0.485,0.314895,0.485,0.293609,0.485,0.302155,0.485,0.299799
0.490,0.324467,0.490,0.349086,0.490,0.303825,0.490,0.341744,0.490,0.318855,0.490,0.327424,0.490,0.325428
0.495,0.353315,0.495,0.377240,0.495,0.331401,0.495,0.370621,0.495,0.346359,0.495,0.354775,0.495,0.353194
0.500,0.384219,0.500,0.407052,0.500,0.361293,0.500,0.401289,0.500,0.375976,0.500,0.384029,0.500,0.382895
0.505,0.416874,0.505,0.438255,0.505,0.393243,0.505,0.433445,0.505,0.407506,0.505,0.414943,0.505,0.414265
0.510,0.450911,0.510,0.470536,0.510,0.426919,0.510,0.466734,0.510,0.440697,0.510,0.447220,0.510,0.446978
0.515,0.485916,0.515,0.503545,0.515,0.461933,0.515,0.500761,0.515,0.475252,0.515,0.480518,0.515,0.480665
0.520,0.521450,0.520,0.536907,0.520,0.497854,0.520,0.535110,0.520,0.510838,0.520,0.514459,0.520,0.514930
0.525,0.557066,0.525,0.570240,0.525,0.534234,0.525,0.569361,0.525,0.547093,0.525,0.548649,0.525,0.549364
0.530,0.592332,0.530,0.603173,0.530,0.570620,0.530,0.603113,0.530,0.583638,0.530,0.582695,0.530,0.583565
