Vf,S2020
0.250,0.000113
0.255,0.000211
0.260,0.000382
0.265,0.000668
0.270,0.001133
0.275,0.001862
0.280,0.002965
0.285,0.004577
0.290,0.006854
0.295,0.009958
0.300,0.014047
0.305,0.019247
0.310,0.025634
0.315,0.033212
0.320,0.041896
0.325,0.051505
0.330,0.061777
0.335,0.072381
0.340,0.082955
0.345,0.093140
0.350,0.102618
0.355,0.111142
0.360,0.118554
0.365,0.124792
0.370,0.129884
0.375,0.133932
0.380,0.137091
0.385,0.139545
0.390,0.141493
0.395,0.143134
0.400,0.144655
0.405,0.146235
0.410,0.148040
0.415,0.150232
0.420,0.152969
0.425,0.156412
0.430,0.160724
0.435,0.166071
0.440,0.172622
0.445,0.180541
0.450,0.190049
0.455,0.201413
0.460,0.214747
0.465,0.230202
0.470,0.247895
0.475,0.267902
0.480,0.290247
0.485,0.314895
0.490,0.341744
0.495,0.370621
0.500,0.401289
0.505,0.433445
0.510,0.466734
0.515,0.500761
0.520,0.535110
0.525,0.569361
0.530,0.603113
0.535,0.636001
0.540,0.667716
0.545,0.698012
0.550,0.726717
0.555,0.753729
0.560,0.779010
0.565,0.802576
0.570,0.824481
0.575,0.844800
0.580,0.863613
0.585,0.880995
0.590,0.897006
0.595,0.911687
0.600,0.925063
0.605,0.937148
0.610,0.947954
0.615,0.957494
0.620,0.965797
0.625,0.972909
0.630,0.978896
0.635,0.983843
0.640,0.987852
0.645,0.991034
0.650,0.993508
0.655,0.995391
0.660,0.996793
0.665,0.997813
0.670,0.998539
0.675,0.999045
0.680,0.999388
0.685,0.999617
0.690,0.999765
0.695,0.999859
0.700,0.999917
0.705,0.999952
0.710,0.999973
0.715,0.999985
0.720,0.999992
0.725,0.999996
0.730,0.999998
0.735,0.999999
0.740,0.999999
0.745,1.000000
0.750,1.000000
